城市,纬度,经度,是否简历居住地,是否岗位城市
苏州,31.3,120.59,是,是
福州,26.07,119.3,是,是
厦门,24.48,118.09,是,是
宁波,29.87,121.54,是,是
嘉兴,30.75,120.76,,是
湖州,30.89,120.09,,是
泉州,24.87,118.68,是,是
滁州,32.3,118.32,,是
漳州,24.51,117.65,是,是
安庆,30.51,117.05,,是
莆田,25.43,119.01,是,是
丽水,28.45,119.92,,是
南平,26.64,118.18,是,是
龙岩,25.08,117.02,是,是
三明,26.26,117.64,是,是
舟山,29.99,122.21,,是
佛山,23.02,113.12,是,
杭州,30.27,120.16,是,
南昌,28.68,115.86,是,
深圳,22.54,114.06,是,
珠海,22.27,113.58,是,
宁德,26.66,119.55,是,
东莞,23.02,113.75,是,
南京,32.06,118.8,是,
广州,23.13,113.26,是,
