简历ID,岗位ID,数据集
R001,J3208,train
R001,J4754,train
R001,J4948,train
R001,J6869,train
R001,J5524,test
R001,J3814,train
R001,J3181,train
R001,J1116,valid
R001,J5596,train
R001,J4467,train
R001,J3403,train
R001,J3872,valid
R001,J8675,train
R001,J7927,train
R001,J6243,train
R001,J7260,train
R001,J8767,test
R001,J4450,valid
R001,J7801,train
R001,J5007,train
R001,J3229,valid
R001,J2105,test
R001,J8477,train
R001,J5847,train
R001,J3067,train
R001,J2442,train
R001,J7887,train
R001,J6143,valid
R001,J0776,train
R001,J6800,train
R001,J4039,train
R001,J6516,valid
R001,J2067,test
R001,J3596,test
R001,J4357,train
R001,J5319,train
R001,J1231,train
R001,J0516,test
R001,J4882,train
R001,J1982,train
R001,J7318,valid
R001,J6063,train
R001,J5888,test
R001,J3865,valid
R001,J7303,train
R001,J3927,train
R001,J2894,train
R001,J7006,train
R001,J0698,train
R001,J4148,train
R001,J4985,train
R001,J4080,train
R001,J6015,train
R001,J1442,train
R001,J3764,train
R001,J0065,train
R001,J7221,train
R001,J7463,train
R001,J6919,test
R001,J1410,train
R001,J6862,train
R001,J5765,train
R001,J7170,test
R001,J4055,test
R001,J3893,train
R001,J4981,train
R001,J6640,train
R001,J6725,train
R001,J8244,train
R001,J0804,train
R001,J7075,test
R001,J0853,valid
R001,J6115,test
R001,J5974,train
R001,J0799,train
R001,J1989,train
R001,J6841,train
R001,J4352,train
R001,J0329,test
R001,J4579,train
R001,J1139,train
R001,J1228,train
R001,J1752,train
R001,J0748,train
R001,J6743,train
R001,J4151,valid
R001,J5512,test
R001,J4112,train
R001,J7538,test
R001,J8073,train
R001,J6968,train
R001,J6809,train
R001,J3820,train
R001,J1895,train
R001,J5610,train
R001,J1009,train
R001,J3244,train
R001,J5922,train
R001,J7304,train
R001,J7487,train
R001,J5996,train
R001,J7744,train
R001,J6401,train
R001,J0557,train
R001,J0819,train
R001,J1757,train
R001,J2415,valid
R001,J2852,train
R001,J0669,train
R001,J4169,test
R001,J4836,train
R001,J3507,test
R001,J4933,train
R001,J2162,train
R001,J1701,train
R001,J7535,train
R001,J3833,train
R001,J6501,train
R001,J3608,train
R001,J4890,train
R001,J8070,train
R001,J7012,valid
R001,J3922,train
R001,J6738,valid
R001,J1350,train
R001,J2741,train
R001,J7065,train
R001,J5594,test
R001,J8486,train
R001,J6622,train
R001,J5688,valid
R001,J0594,train
R001,J1590,train
R001,J0307,valid
R001,J6203,train
R001,J0272,train
R001,J0383,test
R001,J4779,test
R001,J7390,valid
R001,J3855,train
R001,J2438,train
R001,J1660,valid
R001,J5872,train
R001,J7311,train
R001,J2533,train
R001,J8466,train
R001,J3096,valid
R001,J2682,train
R001,J6617,train
R001,J5066,valid
R002,J5966,train
R002,J4659,train
R002,J7789,train
R002,J1326,train
R002,J1761,train
R002,J0123,train
R002,J5429,train
R002,J8219,train
R002,J1439,train
R002,J8806,train
R002,J8475,train
R002,J5739,valid
R002,J3274,valid
R002,J7619,train
R002,J4013,train
R002,J8591,valid
R002,J2236,train
R002,J2123,valid
R002,J8496,valid
R002,J1161,train
R002,J3675,train
R002,J7766,train
R002,J7828,test
R002,J2703,train
R002,J1157,test
R002,J0194,test
R002,J8177,train
R002,J3828,train
R002,J2061,valid
R002,J6357,train
R002,J5006,train
R002,J8316,valid
R002,J7398,train
R002,J7089,train
R002,J7682,train
R002,J1220,test
R002,J5121,train
R002,J1534,train
R002,J6693,train
R002,J0159,train
R002,J6549,valid
R002,J7051,valid
R002,J4768,train
R002,J0393,train
R002,J4497,train
R002,J0828,test
R002,J4404,train
R002,J0594,train
R002,J1770,train
R002,J3510,valid
R002,J5264,valid
R002,J6116,train
R002,J8215,test
R002,J7285,train
R002,J7908,train
R002,J8534,train
R002,J5796,train
R002,J4490,train
R002,J2766,train
R002,J3160,test
R002,J3235,train
R002,J2628,train
R002,J0745,valid
R002,J2746,train
R002,J2021,valid
R002,J6329,train
R002,J2940,train
R002,J6456,valid
R002,J5541,train
R002,J0280,test
R002,J7819,train
R002,J0945,train
R002,J4111,train
R002,J6555,valid
R002,J6308,test
R002,J7794,train
R002,J0714,train
R002,J1726,train
R002,J0327,train
R002,J8659,train
R002,J1266,train
R002,J4719,train
R002,J4315,train
R002,J4818,train
R002,J0047,test
R002,J6761,train
R002,J5856,test
R002,J1016,test
R002,J7294,train
R002,J2658,train
R002,J7980,test
R002,J6518,train
R002,J1579,train
R002,J2465,valid
R002,J2458,test
R002,J8312,train
R002,J8186,train
R002,J4390,train
R002,J5793,train
R002,J2817,train
R002,J3814,train
R002,J2768,train
R002,J5848,train
R002,J4604,test
R002,J4837,valid
R002,J1955,test
R002,J4460,train
R002,J3225,train
R002,J8771,train
R002,J4542,train
R002,J2114,train
R002,J0796,train
R002,J8404,train
R002,J2006,train
R002,J2612,train
R002,J1574,train
R002,J1232,train
R002,J6751,train
R002,J7237,valid
R002,J1035,train
R002,J2301,train
R002,J7180,train
R002,J8544,train
R002,J0394,train
R002,J8443,test
R002,J7798,train
R002,J3804,train
R002,J2772,train
R002,J6323,train
R002,J8170,train
R002,J5354,train
R002,J6546,train
R002,J0939,train
R002,J0222,train
R002,J0188,valid
R002,J8677,train
R002,J6833,train
R002,J8173,train
R002,J2727,train
R002,J2448,train
R002,J1073,train
R002,J1346,train
R002,J2793,valid
R002,J3332,test
R002,J1077,valid
R002,J0087,train
R002,J3594,valid
R002,J1092,valid
R002,J1168,train
R002,J2540,train
R003,J0533,train
R003,J2055,train
R003,J2945,valid
R003,J8205,train
R003,J8750,test
R003,J8420,train
R003,J7446,test
R003,J5382,valid
R003,J2320,test
R003,J4305,train
R003,J4334,train
R003,J4276,train
R003,J0308,valid
R003,J5604,train
R003,J4576,train
R003,J4661,test
R003,J6405,train
R003,J2856,train
R003,J7025,train
R003,J8282,train
R003,J3352,valid
R003,J3777,valid
R003,J7460,train
R003,J4659,train
R003,J8207,train
R003,J1157,test
R003,J1170,valid
R003,J4559,test
R003,J8048,train
R003,J4027,test
R003,J3632,train
R003,J2591,train
R003,J4702,train
R003,J2948,train
R003,J2027,train
R003,J6424,train
R003,J3785,train
R003,J5856,test
R003,J5185,train
R003,J5265,train
R003,J7032,valid
R003,J4200,valid
R003,J1596,test
R003,J6344,train
R003,J1838,train
R003,J7037,train
R003,J4836,train
R003,J2868,train
R003,J1033,train
R003,J6919,test
R003,J4407,train
R003,J5802,valid
R003,J8412,train
R003,J5036,test
R003,J6361,train
R003,J2521,valid
R003,J5983,train
R003,J5977,test
R003,J6734,train
R003,J8130,valid
R003,J2390,train
R003,J6870,train
R003,J1226,train
R003,J4600,train
R003,J4472,train
