简历ID,岗位ID,数据集
R001,J3208,train
R001,J4754,train
R001,J4948,train
R001,J6869,train
R001,J5524,train
R001,J3814,train
R001,J3181,train
R001,J1116,train
R001,J5596,train
R001,J4467,train
R001,J3403,train
R001,J3872,train
R001,J8675,train
R001,J7927,train
R001,J6243,train
R001,J7260,train
R001,J8767,train
R001,J4450,train
R001,J7801,train
R001,J5007,train
R001,J3229,train
R001,J2105,train
R001,J8477,train
R001,J5847,train
R001,J3067,train
R001,J2442,train
R001,J7887,train
R001,J6143,train
R001,J0776,train
R001,J6800,train
R001,J4039,train
R001,J6516,train
R001,J2067,train
R001,J3596,train
R001,J4357,train
R001,J5319,train
R001,J1231,train
R001,J0516,train
R001,J4882,train
R001,J1982,train
R001,J7318,train
R001,J6063,train
R001,J5888,train
R001,J3865,train
R001,J7303,train
R001,J3927,train
R001,J2894,train
R001,J7006,train
R001,J0698,train
R001,J4148,train
R001,J4985,train
R001,J4080,train
R001,J6015,train
R001,J1442,train
R001,J3764,train
R001,J0065,train
R001,J7221,train
R001,J7463,train
R001,J6919,train
R001,J1410,train
R001,J6862,train
R001,J5765,train
R001,J7170,train
R001,J4055,train
R001,J3893,train
R001,J4981,train
R001,J6640,train
R001,J6725,train
R001,J8244,train
R001,J0804,train
R001,J7075,train
R001,J0853,train
R001,J6115,train
R001,J5974,train
R001,J0799,train
R001,J1989,train
R001,J6841,train
R001,J4352,train
R001,J0329,train
R001,J4579,train
R001,J1139,train
R001,J1228,train
R001,J1752,train
R001,J0748,train
R001,J6743,train
R001,J4151,train
R001,J5512,train
R001,J4112,train
R001,J7538,train
R001,J8073,train
R001,J6968,train
R001,J6809,train
R001,J3820,train
R001,J1895,train
R001,J5610,train
R001,J1009,train
R001,J3244,train
R001,J5922,train
R001,J7304,train
R001,J7487,train
R001,J5996,train
R001,J7744,train
R001,J6401,train
R001,J0557,train
R001,J0819,train
R001,J1757,train
R001,J2415,train
R001,J2852,train
R001,J0669,train
R001,J4169,train
R001,J4836,train
R001,J3507,train
R001,J4933,train
R001,J2162,train
R001,J1701,train
R001,J7535,train
R001,J3833,train
R001,J6501,train
R001,J3608,train
R001,J4890,train
R001,J8070,train
R001,J7012,train
R001,J3922,train
R001,J6738,train
R001,J1350,train
R001,J2741,train
R001,J7065,train
R001,J5594,train
R001,J8486,train
R001,J6622,train
R001,J5688,train
R001,J0594,train
R001,J1590,train
R001,J0307,train
R001,J6203,train
R001,J0272,train
R001,J0383,train
R001,J4779,train
R001,J7390,train
R001,J3855,train
R001,J2438,train
R001,J1660,train
R001,J5872,train
R001,J7311,train
R001,J2533,train
R001,J8466,train
R001,J3096,train
R001,J2682,train
R001,J6617,train
R001,J5066,train
R002,J5966,valid
R002,J4659,valid
R002,J7789,valid
R002,J1326,valid
R002,J1761,valid
R002,J0123,valid
R002,J5429,valid
R002,J8219,valid
R002,J1439,valid
R002,J8806,valid
R002,J8475,valid
R002,J5739,valid
R002,J3274,valid
R002,J7619,valid
R002,J4013,valid
R002,J8591,valid
R002,J2236,valid
R002,J2123,valid
R002,J8496,valid
R002,J1161,valid
R002,J3675,valid
R002,J7766,valid
R002,J7828,valid
R002,J2703,valid
R002,J1157,valid
R002,J0194,valid
R002,J8177,valid
R002,J3828,valid
R002,J2061,valid
R002,J6357,valid
R002,J5006,valid
R002,J8316,valid
R002,J7398,valid
R002,J7089,valid
R002,J7682,valid
R002,J1220,valid
R002,J5121,valid
R002,J1534,valid
R002,J6693,valid
R002,J0159,valid
R002,J6549,valid
R002,J7051,valid
R002,J4768,valid
R002,J0393,valid
R002,J4497,valid
R002,J0828,valid
R002,J4404,valid
R002,J0594,valid
R002,J1770,valid
R002,J3510,valid
R002,J5264,valid
R002,J6116,valid
R002,J8215,valid
R002,J7285,valid
R002,J7908,valid
R002,J8534,valid
R002,J5796,valid
R002,J4490,valid
R002,J2766,valid
R002,J3160,valid
R002,J3235,valid
R002,J2628,valid
R002,J0745,valid
R002,J2746,valid
R002,J2021,valid
R002,J6329,valid
R002,J2940,valid
R002,J6456,valid
R002,J5541,valid
R002,J0280,valid
R002,J7819,valid
R002,J0945,valid
R002,J4111,valid
R002,J6555,valid
R002,J6308,valid
R002,J7794,valid
R002,J0714,valid
R002,J1726,valid
R002,J0327,valid
R002,J8659,valid
R002,J1266,valid
R002,J4719,valid
R002,J4315,valid
R002,J4818,valid
R002,J0047,valid
R002,J6761,valid
R002,J5856,valid
R002,J1016,valid
R002,J7294,valid
R002,J2658,valid
R002,J7980,valid
R002,J6518,valid
R002,J1579,valid
R002,J2465,valid
R002,J2458,valid
R002,J8312,valid
R002,J8186,valid
R002,J4390,valid
R002,J5793,valid
R002,J2817,valid
R002,J3814,valid
R002,J2768,valid
R002,J5848,valid
R002,J4604,valid
R002,J4837,valid
R002,J1955,valid
R002,J4460,valid
R002,J3225,valid
R002,J8771,valid
R002,J4542,valid
R002,J2114,valid
R002,J0796,valid
R002,J8404,valid
R002,J2006,valid
R002,J2612,valid
R002,J1574,valid
R002,J1232,valid
R002,J6751,valid
R002,J7237,valid
R002,J1035,valid
R002,J2301,valid
R002,J7180,valid
R002,J8544,valid
R002,J0394,valid
R002,J8443,valid
R002,J7798,valid
R002,J3804,valid
R002,J2772,valid
R002,J6323,valid
R002,J8170,valid
R002,J5354,valid
R002,J6546,valid
R002,J0939,valid
R002,J0222,valid
R002,J0188,valid
R002,J8677,valid
R002,J6833,valid
R002,J8173,valid
R002,J2727,valid
R002,J2448,valid
R002,J1073,valid
R002,J1346,valid
R002,J2793,valid
R002,J3332,valid
R002,J1077,valid
R002,J0087,valid
R002,J3594,valid
R002,J1092,valid
R002,J1168,valid
R002,J2540,valid
R003,J0533,train
R003,J2055,train
R003,J2945,train
R003,J8205,train
R003,J8750,train
R003,J8420,train
R003,J7446,train
R003,J5382,train
R003,J2320,train
R003,J4305,train
R003,J4334,train
R003,J4276,train
R003,J0308,train
R003,J5604,train
R003,J4576,train
R003,J4661,train
R003,J6405,train
R003,J2856,train
R003,J7025,train
R003,J8282,train
R003,J3352,train
R003,J3777,train
R003,J7460,train
R003,J4659,train
R003,J8207,train
R003,J1157,train
R003,J1170,train
R003,J4559,train
R003,J8048,train
R003,J4027,train
R003,J3632,train
R003,J2591,train
R003,J4702,train
R003,J2948,train
R003,J2027,train
R003,J6424,train
R003,J3785,train
R003,J5856,train
R003,J5185,train
R003,J5265,train
R003,J7032,train
R003,J4200,train
R003,J1596,train
R003,J6344,train
R003,J1838,train
R003,J7037,train
R003,J4836,train
R003,J2868,train
R003,J1033,train
R003,J6919,train
R003,J4407,train
R003,J5802,train
R003,J8412,train
R003,J5036,train
R003,J6361,train
