简历ID,配对数,Top10重合度,Spearman相关,模型NDCG@10,规则NDCG@10,模型MAE
R001,150,0.667,0.997,1.0,1.0,0.878
R002,150,0.538,0.99,0.6309,0.6309,0.875
R003,150,0.818,0.995,0.0,0.0,0.778
R004,150,0.818,0.998,0.9149,0.9052,0.803
R005,249,0.818,0.995,0.0,0.0,0.74
R006,150,1.0,0.996,1.0,1.0,0.853
R007,150,0.818,0.993,0.0,0.0,0.801
R008,367,0.667,0.987,0.8319,0.8319,0.66
R009,150,0.667,0.996,0.8922,0.8922,0.784
R010,150,0.538,0.981,0.0,0.0,0.71
R011,150,0.818,0.997,1.0,1.0,0.861
R012,150,0.818,0.995,0.0,0.0,0.485
R013,150,0.667,0.995,0.8937,0.9084,0.773
R014,150,0.667,0.997,0.5087,0.5531,0.948
R015,744,0.818,0.964,0.9337,0.9306,0.825
R016,487,0.667,0.987,1.0,1.0,1.198
R017,150,0.538,0.983,0.0,0.0,0.628
R018,150,0.818,0.993,1.0,1.0,0.763
R019,150,0.818,0.996,1.0,1.0,0.807
R020,2223,0.818,0.994,1.0,1.0,0.704
R021,1319,0.667,0.975,1.0,1.0,0.756
R022,1319,1.0,0.977,1.0,1.0,0.621
R023,367,0.818,0.989,0.89,0.89,0.701
R024,1323,0.818,0.995,1.0,1.0,0.863
R025,150,0.818,0.995,0.6131,0.6131,0.837
R026,150,1.0,0.995,0.9337,0.9337,0.835
R027,1319,0.818,0.997,1.0,1.0,0.721
R028,150,0.818,0.994,0.0,0.0,0.722
R029,150,0.538,0.994,1.0,1.0,0.672
R030,367,0.429,0.984,0.6131,0.6131,0.749
R031,1023,1.0,0.946,1.0,1.0,0.556
R032,150,1.0,0.993,1.0,1.0,0.685
R033,150,0.818,0.984,0.0,0.0,0.953
R034,150,0.818,0.987,1.0,1.0,0.819
R035,744,0.818,0.996,1.0,1.0,0.912
R036,367,0.818,0.994,0.8772,0.6131,0.646
R037,208,0.667,0.995,0.9149,0.9149,1.324
