岗位ID,岗位名称,公司,城市,一级簇号,一级簇名,二级簇名
J0001,java实习生,厦门争新科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0002,鸿蒙开发工程师,上海思芮信息科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0003,web前端开发工程师(短期半年 可能会续签),科锐尔人力资源服务(苏州)有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0004,JAVA开发-厦门（双休-在同安有免费班车）,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0005,软件开发主管,厦门芯泰达集成电路有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,Java/后端（spring、mybatis）
J0006,C++后台开发工程师 (MJ000142),厦门睿云联创新科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0007,Java开发工程师（安踏项目）,软通动力信息技术(集团)股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0008,ERP系统高级开发工程师（SAP方向）,厦门钨业股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0009,java开发工程师,北京银丰新融科技开发有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0010,it技术总监,君百(厦门)科技集团有限公司,厦门,0,制造业质量/检验（成本管理、抖音）,制造业质量/检验（图文平台、性能检测）
J0011,后端开发,南宁邑通科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0012,嵌入式软件工程师(J10015),厦门汉印股份有限公司,厦门,5,嵌入式/硬件（rtos、32位单片机）,—
J0013,软件开发工程师（集团）,华厦眼科医院,厦门,4,后端开发（hibernate、linux开发）,—
J0014,软件开发工程师（英语作为工作语言）,达昊(厦门)制造有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0015,Java开发工程师（需会GO语言）,北京企慕科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0016,java（福州驻场有住宿）,北京神州数字科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0017,中高级java工程师,厦门星拉科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0018,Java全栈开发工程师（软硬一体交付方向）(J10103),厦门文广传媒集团有限公司,厦门,8,前端开发（web前端、erp项目）,—
J0019,Java开发工程师,福建点景大数据有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0020,java架构师,厦门盒群信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0021,java开发工程师,诚迈科技股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0022,Java工程师（厦门）(010358),广州南天电脑系统有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0023,对日初级Java开发,厦门争新科技有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0024,AI+python/Java支持工程师（厦门）,深圳市瑞维控股有限公司,厦门,7,算法/人工智能（智能驾驶、传感器融合）,—
J0025,Java开发-自研岗位-可出差,厦门至恒融兴信息技术股份有限公司,厦门,4,后端开发（hibernate、linux开发）,—
J0026,中高级java开发工程师,智联招聘杭州分公司,厦门,4,后端开发（hibernate、linux开发）,—
J0027,高级Java开发,金网信通(大连)信息技术有限公司,厦门,4,后端开发（hibernate、linux开发）,—
