标签,出现行数,分类,是否剔除,依据
QE,390,技能,否,—
Python,349,技能,否,—
QC,327,技能,否,—
Java,318,技能,否,—
QA,280,技能,否,—
C++,269,技能,否,—
汽车行业质量管理体系,263,行业领域,否,行业/领域关键词规则（按用户口径保留）
半导体/芯片,255,行业领域,否,行业/领域关键词规则（按用户口径保留）
MySQL,228,技能,否,—
Spring,224,技能,否,—
五险一金,213,福利待遇,是,福利/待遇关键词规则
JavaScript,212,技能,否,—
软件/IT服务,173,技能,否,—
全面质量管理体系,170,技能,否,—
系统运维,164,技能,否,—
人工智能,160,技能,否,—
C#,154,技能,否,—
C语言,138,技能,否,—
功能测试,137,技能,否,—
工业自动化/机器人,129,行业领域,否,行业/领域关键词规则（按用户口径保留）
电气机械/电力设备,124,行业领域,否,行业/领域关键词规则（按用户口径保留）
计算机软件,115,行业领域,否,行业/领域关键词规则（按用户口径保留）
测试,108,技能,否,—
后端开发,102,技能,否,—
性能测试,101,技能,否,—
网络运维,98,技能,否,—
来料检验（IQC）,98,技能,否,—
银行,95,行业领域,否,行业/领域关键词规则（按用户口径保留）
化工,93,行业领域,否,行业/领域关键词规则（按用户口径保留）
Vue,91,技能,否,—
制程检验（IPQC）,79,技能,否,—
设计,78,技能,否,—
通信/网络设备,72,技能,否,—
环保,72,行业领域,否,行业/领域关键词规则（按用户口径保留）
互联网电商,71,行业领域,否,行业/领域关键词规则（按用户口径保留）
Oracle,68,技能,否,—
服务器运维,68,技能,否,—
新能源,68,行业领域,否,行业/领域关键词规则（按用户口径保留）
Mybatis,65,技能,否,—
机器学习,65,技能,否,—
自动化测试,64,技能,否,—
SQL,63,技能,否,—
ERP,62,技能,否,—
前端开发,61,技能,否,—
软件测试,60,技能,否,—
大模型算法,59,技能,否,—
金属制品/机加工,59,技能,否,—
安装/调试,59,技能,否,—
数据统计,59,技能,否,—
系统测试,58,技能,否,—
云计算,57,技能,否,—
专用设备制造,57,行业领域,否,行业/领域关键词规则（按用户口径保留）
新能源/燃油车零部件,57,行业领域,否,行业/领域关键词规则（按用户口径保留）
绩效奖金,55,福利待遇,是,福利/待遇关键词规则
硬件测试,55,技能,否,—
CSS,54,技能,否,—
通用设备制造,54,行业领域,否,行业/领域关键词规则（按用户口径保留）
电气设备,54,技能,否,—
计算机硬件,53,行业领域,否,行业/领域关键词规则（按用户口径保留）
图像算法,53,技能,否,—
自动化设备,53,技能,否,—
生产物料管理,53,技能,否,—
深度学习,52,技能,否,—
仪器仪表,52,技能,否,—
化学原料/化学制品,51,技能,否,—
信息安全,50,技能,否,—
食品/饮料/酒水批发/零售/贸易,50,行业领域,否,行业/领域关键词规则（按用户口径保留）
机械设备,50,技能,否,—
生产计划管理,49,技能,否,—
数据分析,48,技能,否,—
食品安全管理体系,47,行业领域,否,行业/领域关键词规则（按用户口径保留）
C,46,技能,否,—
英语,46,技能,否,—
