技能词,归一后,来源,岗位出现次数
HIVESQL/SPARKSQL,hivesqlsparksql,岗位技能标签,1
WINDOWS SERVER系统,windowsserver系统,岗位技能标签,1
熟练使用QC七大手法、8D报告,熟练使用qc七大手法、8d报告,岗位技能标签,1
CSS3/JAVASCRIPT,css3javascript,岗位技能标签,1
FINEREPORT报表开发,finereport报表开发,岗位技能标签,1
SPRING FRAMEWOR,springframewor,岗位技能标签,2
数字媒体、中文、心理学等均可,数字媒体、中文、心理学等均可,岗位技能标签,1
ACS/雷赛或固高软件/MEI,acs雷赛或固高软件mei,岗位技能标签,1
Adobe InDesign,adobeindesign,岗位技能标签,1
Android Studio,androidstudio,岗位技能标签,10
DYNAMICS 365开发,dynamics365开发,岗位技能标签,1
IQC/IPQC/FQC/OQC,iqcipqcfqcoqc,岗位技能标签,1
ISO9001/TL9000,iso9001tl9000,岗位技能标签,1
NPI、EVT/DVT/PVT,npi、evtdvtpvt,岗位技能标签,1
开发测试程序和优化测试方案,开发测试程序和优化测试方案,岗位技能标签,1
特种作业操作证 （低压电工）,特种作业操作证(低压电工),岗位技能标签,3
特种作业操作证 （电工作业）,特种作业操作证(电工作业),岗位技能标签,1
特种作业操作证 （高压电工）,特种作业操作证(高压电工),岗位技能标签,4
电工进网作业许可证（低压）,电工进网作业许可证(低压),岗位技能标签,1
电工进网作业许可证（高压）,电工进网作业许可证(高压),岗位技能标签,2
CANOE，CANAPE,canoe，canape,岗位技能标签,1
MES/SCADA 系统维护,messcada系统维护,岗位技能标签,1
MES、LIMS、EAM,mes、lims、eam,岗位技能标签,1
PHOTON DESIGN,photondesign,岗位技能标签,1
SPRING BOOT 框架,springboot框架,岗位技能标签,1
Visual Studio,visualstudio,岗位技能标签,2
Windows Forms,windowsforms,岗位技能标签,8
WINDOWS/LINUX,windowslinux,岗位技能标签,1
XRF、HPLC、XRD,xrf、hplc、xrd,岗位技能标签,1
形机器人整机控制算法开发,形机器人整机控制算法开发,岗位技能标签,1
航天任务大厅系统集成项目,航天任务大厅系统集成项目,岗位技能标签,1
软件架构设计及上位机开发,软件架构设计及上位机开发,岗位技能标签,1
非生产设备、实验仪器采购,非生产设备、实验仪器采购,岗位技能标签,1
ANDROID HAL层,androidhal层,岗位技能标签,1
Android系统开发,android系统开发,岗位技能标签,1
DYNAMICS 365,dynamics365,岗位技能标签,1
GOLDENDB 数据库,goldendb数据库,岗位技能标签,1
IATF16949体系,iatf16949体系,岗位技能标签,1
IATF 16949经验,iatf16949经验,岗位技能标签,1
Informatica,informatica,岗位技能标签,2
LANGCHAIN4J,langchain4j,岗位技能标签,1
MindManager,mindmanager,岗位技能标签,1
OPENHARMONY,openharmony,岗位技能标签,1
PI 算法、2P2Z 算法,pi算法、2p2z算法,岗位技能标签,1
POWER BI平台运维,powerbi平台运维,岗位技能标签,1
React Native,reactnative,岗位技能标签,3
ROS/ROS2开发框架,rosros2开发框架,岗位技能标签,1
SOMEIP/DDS协议,someipdds协议,岗位技能标签,1
SpringCloud,springcloud,简历技能池,1
springcloud,springcloud,同义词表,
Transformer,transformer,岗位技能标签,8
初级无损检测人员资格证,初级无损检测人员资格证,岗位技能标签,1
压力容器全流程质量管控,压力容器全流程质量管控,岗位技能标签,1
售后流程优化与数据管理,售后流程优化与数据管理,岗位技能标签,1
基恩士、康耐视、海康等,基恩士、康耐视、海康等,岗位技能标签,1
实验室质量管理体系标准,实验室质量管理体系标准,岗位技能标签,2
测量及补偿加工相关开发,测量及补偿加工相关开发,岗位技能标签,1
熟悉LINUX操作系统,熟悉linux操作系统,岗位技能标签,1
生产质量管理、质量控制,生产质量管理、质量控制,岗位技能标签,1
系统集成项目管理工程师,系统集成项目管理工程师,岗位技能标签,2
运动控制，机器人算法，,运动控制，机器人算法，,岗位技能标签,2
3C消费电子技术支持,3c消费电子技术支持,岗位技能标签,1
3D叠层电池键合工艺,3d叠层电池键合工艺,岗位技能标签,1
3年以上JAVA经验,3年以上java经验,岗位技能标签,1
ANDROID BSP,androidbsp,岗位技能标签,1
Bootloader,bootloader,岗位技能标签,1
CANOE，VSPY,canoe，vspy,岗位技能标签,1
CHROMA8000,chroma8000,岗位技能标签,1
CNC机加工质量管控,cnc机加工质量管控,岗位技能标签,1
CPA中国注册会计师,cpa中国注册会计师,岗位技能标签,3
CQE质量工程师岗位,cqe质量工程师岗位,岗位技能标签,1
EIGEN、RBDL,eigen、rbdl,岗位技能标签,1
FineReport,finereport,岗位技能标签,1
ISO9001内审员,iso9001内审员,岗位技能标签,2
ISO/TS16949,isots16949,岗位技能标签,1
JavaScript,javascript,简历技能池,1
javascript,javascript,同义词表,
js,javascript,同义词表,
javascriptes6,javascript,同义词表,
Kubernetes,kubernetes,简历技能池,1
k8s,kubernetes,同义词表,
kubernetes,kubernetes,同义词表,
k8s集群,kubernetes,同义词表,
LoadRunner,loadrunner,岗位技能标签,2
OFFICE系列软件,office系列软件,岗位技能标签,1
PCBA质量管理体系,pcba质量管理体系,岗位技能标签,1
PostgreSQL,postgresql,简历技能池,1
postgresql,postgresql,同义词表,
postgresql数据库,postgresql,同义词表,
Prometheus,prometheus,简历技能池,1
prometheus,prometheus,同义词表,
SIMULINK模型,simulink模型,岗位技能标签,1
SolidWorks,solidworks,岗位技能标签,14
SpringBoot,springboot,简历技能池,1
springboot,springboot,同义词表,
springboot2,springboot,同义词表,
springboot2x,springboot,同义词表,
TensorFlow,tensorflow,简历技能池,1
tensorflow,tensorflow,同义词表,
tensorflow2,tensorflow,同义词表,
TypeScript,typescript,简历技能池,1
typescript,typescript,同义词表,
ts,typescript,同义词表,
Verilog HDL,veriloghdl,岗位技能标签,2
三坐标经验，会CAD,三坐标经验，会cad,岗位技能标签,1
储能DC系统产品规划,储能dc系统产品规划,岗位技能标签,1
关键词：MATLAB,关键词：matlab,岗位技能标签,1
制程检验（IPQC）,制程检验(ipqc),岗位技能标签,79
抽水蓄能电站技术管理,抽水蓄能电站技术管理,岗位技能标签,1
海洋水文与水资源工程,海洋水文与水资源工程,岗位技能标签,1
熟悉PF、CP、WI,熟悉pf、cp、wi,岗位技能标签,1
熟练使用QC七大手法,熟练使用qc七大手法,岗位技能标签,1
生产计划、兼领导司机,生产计划、兼领导司机,岗位技能标签,1
电子工程师/硬件工程师,电子工程师硬件工程师,岗位技能标签,1
电子电路基础元件/模组,电子电路基础元件模组,岗位技能标签,4
航空航天质量管理体系,航空航天质量管理体系,岗位技能标签,11
轨道交通装备质量管控,轨道交通装备质量管控,岗位技能标签,1
通信物理层 PHY 算法,通信物理层phy算法,岗位技能标签,1
通信类电线/信号类小线,通信类电线信号类小线,岗位技能标签,1
钳工初级职业资格证书,钳工初级职业资格证书,岗位技能标签,1
3D打印软件工程师,3d打印软件工程师,岗位技能标签,1
AGV项目实施运维,agv项目实施运维,岗位技能标签,1
AICA首席架构师,aica首席架构师,岗位技能标签,1
AI全栈开发工程师,ai全栈开发工程师,岗位技能标签,1
Android开发,android开发,岗位技能标签,2
Ant Design,antdesign,简历技能池,1
Attention,attention,岗位技能标签,1
BENDING折弯,bending折弯,岗位技能标签,1
BLE/WIFI模组,blewifi模组,岗位技能标签,1
Bootstrap,bootstrap,岗位技能标签,3
CCIE/HCIE等,cciehcie等,岗位技能标签,1
c++,cplusplus,同义词表,
cpp,cplusplus,同义词表,
DataStage,datastage,岗位技能标签,3
Element UI,elementui,简历技能池,1
FCT测试设备运维,fct测试设备运维,岗位技能标签,1
Framework,framework,岗位技能标签,5
Geoserver,geoserver,岗位技能标签,2
GIS / CESIUM,giscesium,岗位技能标签,1
GoogLeNet,googlenet,岗位技能标签,1
Hibernate,hibernate,岗位技能标签,16
