词,词频
质量,12925
数据,8627
问题,8406
技术,7942
测试,7224
设备,6959
生产,6519
流程,5874
处理,4835
岗位职责,4678
需求,4559
确保,4370
软件,4346
制定,4072
独立,3898
运维,3779
解决,3677
落地,3599
行业,3590
协调,3574
提升,3550
数据分析,3486
工具,3437
推动,3349
方案,3310
自动化,3196
现场,3124
了解,3099
标准,3094
日常,3057
工艺,3036
过程,3015
检验,2995
基础,2931
研发,2888
执行,2886
算法,2829
AI,2812
报告,2807
部门,2760
体系,2646
应用,2645
异常,2638
品质,2627
计划,2589
控制,2541
调试,2530
协作,2479
文档,2469
对接,2449
操作,2442
配合,2441
组织,2380
掌握,2377
运行,2324
安全,2321
规范,2319
精通,2318
核心,2273
检测,2272
实施,2243
模型,2242
成本,2241
改善,2177
制造,2163
跟踪,2138
定期,2125
故障,2123
工程,2123
管控,2110
保障,2105
审核,2079
包括,2076
持续,2035
管理体系,2027
主导,2004
输出,1957
企业,1940
建立,1940
合作,1902
监控,1866
改进,1834
数据库,1824
开展,1814
供应商,1814
内容,1811
办公,1811
目标,1808
跟进,1802
及时,1800
验证,1792
意识,1790
风险,1774
Python,1764
电气,1749
采购,1746
性能,1741
跨部门,1704
熟练掌握,1699
机械,1680
工业,1674
材料,1652
环境,1641
快速,1609
硬件,1605
交付,1604
电子,1593
Java,1573
记录,1567
机器人,1564
功能,1556
计算机,1551
代码,1536
逻辑,1526
任务,1525
评估,1522
排查,1520
规划,1518
员工,1499
财务,1496
活动,1478
框架,1461
整理,1454
统筹,1448
协同,1444
知识,1417
模块,1408
and,1401
效率,1387
网络,1387
编制,1386
统计,1378
内部,1362
高效,1352
IT,1345
稳定,1344
技能,1343
文件,1339
用户,1338
策略,1322
场景,1311
至少,1307
智能,1303
推进,1269
架构,1264
信息,1263
工程师,1259
适应,1256
建设,1250
反馈,1249
理解,1246
C++,1243
编程,1242
作业,1233
制程,1233
资源,1222
精神,1217
闭环,1212
识别,1207
视觉,1180
主流,1178
部署,1176
物料,1176
原理,1147
有效,1143
订单,1130
迭代,1119
方法,1106
安排,1104
五险,1095
情况,1094
监督,1088
定位,1074
提出,1069
半导体,1065
配置,1064
运用,1053
Spring,1041
指导,1039
ERP,1032
语言,1029
评审,1026
接口,1023
收集,1020
整改,1010
合规,1002
撰写,1001
常用,999
接受,999
一金,998
通信,997
绩效,988
经营,978
报表,978
SQL,977
领域,975
资料,972
基本,971
策划,968
建议,965
完善,959
资格,954
巡检,941
安装,940
新能源,934
库存,930
物流,919
电商,918
符合,916
进度,915
成品,911
前端,908
芯片,897
MySQL,895
汽车,895
供应链,892
背景,880
出差,874
人工智能,873
指标,873
8D,871
扎实,860
区域,856
做好,855
QC,849
年度,843
实际,841
响应,839
复杂,836
结果,830
落实,829
Linux,825
英语,825
研究,824
制造业,817
量产,812
清晰,811
维修,803
拥有,789
决策,789
严谨,785
标准化,781
考虑,777
客诉,773
品牌,772
技术支持,771
台账,768
关键,767
渠道,767
整体,763
稳定性,759
互联网,758
全面,756
复盘,749
机制,748
集成,748
领导,747
Excel,745
带薪,744
MES,744
结构,743
更新,743
食品,743
工厂,741
转化,739
产品质量,737
验收,729
一种,728
基于,728
投诉,725
支撑,723
综合,722
执行力,713
解决方案,712
关系,710
零部件,707
参数,696
各项,694
试验,694
不良,691
实验室,690
仓储,689
营销,688
协议,686
方向,686
认证,683
驱动,672
交办,664
深入,663
电力,663
达成,662
推广,660
完整,658
效果,657
售后,652
降低,649
准确,646
适配,645
来料,643
调整,633
检查,633
C#,630
措施,630
视频,627
服务器,621
管理工作,621
项目管理,620
解决问题,620
零售,619
持有,618
上线,616
车间,613
软件开发,610
保证,608
压力,604
针对,600
节日,599
质量体系,599
选型,596
逻辑思维,593
常见,589
补贴,589
升级,588
薪酬,588
可靠性,579
金融,578
缺陷,577
SPC,570
梳理,568
应急,566
软件工程,563
条件,562
采集,558
深度,555
善于,552
调研,552
制度,550
上级,549
实习,548
发现,545
长期,545
思维,540
电力设备,539
确认,539
嵌入式,539
仿真,536
数据处理,534
图纸,532
模式,531
归档,529
政策,528
阶段,526
证书,525
实验,525
构建,523
银行,520
加班,516
产线,514
精准,513
考核,511
职业,510
QE,510
版本,508
专项,508
变更,507
提高,506
保养,503
脚本,502
Vue,500
媒体,500
表达能力,499
程序,498
店铺,497
仪器,496
化工,493
状态,492
动态,492
方案设计,491
会议,491
汇报,490
ISO9001,487
JavaScript,484
新品,483
双休,482
经历,481
规则,481
数字化,480
调优,479
汽车行业,476
Oracle,475
英文,474
建模,473
挖掘,472
联调,471
IATF16949,470
计算机相关,469
信息化,468
光伏,466
资产,464
分项,462
架构设计,461
通讯,460
传感器,459
合同,459
网络设备,457
创新,457
汇总,457
战略,457
大型,455
特性,454
机电,445
导入,444
主管,444
门店,444
FMEA,443
环节,442
化学,441
满足,440
样品,439
贸易,436
素质,435
月度,433
按时,432
调度,431
深度学习,426
图像,425
审计,424
交互,423
体检,423
简单,422
机会,422
教育,421
编码,420
节假日,419
业务流程,419
编程语言,418
SOP,418
原因,418
PLC,418
运动,417
to,416
储能,416
培养,416
正常,413
存储,411
商务,411
联网,410
数字,407
产品开发,406
合理,406
辅助,406
核对,406
the,406
计算机软件,404
海外,404
测量,404
体验,403
重大,402
Agent,401
操作系统,400
准确性,400
依据,399
出货,399
外部,398
预算,398
生命周期,396
组件,394
数学,394
手法,394
同步,393
Redis,392
主要,391
自动化测试,390
法规,390
燃油,389
纠正,388
满意度,386
加工,385
趋势,384
训练,384
重点,382
API,382
作为,381
装配,381
in,381
实操,378
测试报告,377
实时,376
of,374
沉淀,373
拓展,372
经理,372
性能测试,372
高压,372
后端开发,371
批发,371
环保,371
线上,370
终端,370
总结,370
原材料,368
方面,367
Office,367
功能测试,366
质量标准,366
ISO,366
修复,365
税务,364
不同,362
其中,362
业绩,362
QA,358
工序,358
事项,357
3D,357
车辆,357
追踪,356
案例,355
应对,355
产业,351
现有,351
处置,350
承担,349
链路,347
竞品,347
机器,346
形成,345
节奏,343
监测,343
个人,342
核算,341
微服务,340
标注,340
文化,338
擅长,337
周末,336
测试用例,336
免费,336
丰富,335
统招,334
第三方,334
小时,334
法定,333
MSA,333
国家,332
会计,332
提交,331
商品,331
联动,331
阅读,330
出现,329
底层,328
电脑,328
及其,326
软硬件,326
或者,326
拆解,325
with,325
愿意,322
同时,321
计算,321
机加工,321
Windows,320
软件测试,318
入职,318
C语言,317
发布,317
账号,316
相应,315
理论,315
成长,315
费用,315
IP,314
WMS,314
电站,313
整车,313
融合,312
内外部,312
仓库,312
绩效考核,311
生产工艺,310
预防措施,310
从业,308
设施,308
上位,307
路径,307
计算机科学,306
七大,306
IPQC,306
机器学习,305
盘点,304
试产,304
焊接,304
治理,303
并发,303
中心,303
具体,303
统计分析,303
日志,302
高质量,302
一体化,302
清洗,302
咨询,302
价值,302
分布式,301
生成,300
突发,300
关注,299
预警,299
人力,298
良率,298
车载,296
人力资源,296
方式,295
赋能,295
数据中心,294
成员,293
TCP,293
素养,293
国际,293
质检,293
光学,292
动手,291
页面,289
电子信息,289
失效,289
细心,288
信息安全,288
指导书,288
严格,287
水平,287
医疗,287
抖音,287
补助,286
缴纳,286
根因,286
商业,286
限于,285
机房,285
市场营销,285
团建,284
投资,284
毕业生,284
业务部门,283
积极主动,282
IQC,282
价格,281
CAD,281
权限,280
专业知识,280
潜在,280
电池,280
流量,279
申报,279
底薪,279
PPAP,279
电工,277
说明,276
实践,276
PPT,276
一线,276
调查,276
基础知识,275
食品安全,274
专业本科,273
习惯,273
顺畅,273
出色,273
专用设备,271
激励,271
Docker,270
覆盖,270
嵌入式软件,270
健康,270
工艺流程,270
中间件,269
谈判,269
改造,268
保持,268
周期,268
事务,267
管理制度,267
标定,267
利用,266
必须,266
成功,266
系统集成,266
电路,265
电机,264
交流,264
理工科,263
工程化,262
园区,262
产能,262
桌面,261
旅游,261
整机,260
奖金,260
技巧,259
不断,259
机构,259
施工,258
科技,258
前端开发,255
强烈,255
智能化,255
布局,255
Web,254
负责人,254
仪器仪表,254
竞争力,254
招商,254
APQP,254
Server,253
预测,253
物理,253
牵头,251
多线程,250
节点,250
服从,250
福利待遇,250
提供数据,250
电气工程,249
质量检验,249
所有,248
应届,248
Android,247
上报,246
工资,246
敏感,246
知识库,245
自动,245
校准,245
应届生,244
导向,243
电工证,243
成本核算,243
认真负责,242
耐心,241
放宽,241
运作,241
管理层,241
开源,240
诊断,240
合格,240
精益,240
转正,239
Boot,239
Cloud,239
做事,239
PyTorch,239
明确,239
相机,238
行政,238
RAG,237
季度,237
餐补,236
可行性,236
原料,236
专业技能,236
敏感度,236
不合格品,236
SAP,235
直播,234
结算,234
信号,234
变化,234
每日,234
数据结构,233
科学,233
原则性,233
成果,232
稽核,232
CAN,232
报价,232
痛点,230
跨境,230
Git,229
管理工具,229
大数据,229
管理系统,229
品类,229
生物,229
饮料,228
计量,227
低压,227
氛围,226
包装,226
从事,225
自主,225
打造,225
可视化,223
期间,223
quality,223
容器,222
带领,222
云计算,222
涵盖,222
可追溯,222
文案,222
瓶颈,221
统计学,221
上级领导,221
范围,220
准备,219
临时,219
短期,218
常规,218
隐患,218
高度,218
态度,218
交通,218
FQC,218
React,217
封装,217
客户端,217
暖通,217
.NET,216
分配,215
表达,215
档案,215
洞察,214
单片机,214
顺利,213
助理,213
广告,213
踏实,212
基础设施,212
尺寸,212
纺织,212
OA,211
批量,211
非标,211
匹配,211
电源,211
查询,210
全程,210
for,210
通信协议,209
毕业,209
图像处理,209
示波器,209
有效性,208
后台,207
一致性,207
前后,207
专科,207
详细,207
备份,207
证明,206
前沿技术,206
预防,206
原理图,206
CSS,205
手册,205
项目经理,205
控制算法,205
单位,204
计算机硬件,204
客户服务,204
单据,203
整合,203
5S,203
真实,202
部分,202
生态,202
BI,202
定制,202
交易,202
规定,202
生产流程,202
实战经验,201
探索,201
BOM,201
评价,201
元器件,201
分类,201
其它,201
登记,201
判定,201
品控,201
保险,200
福州,200
状况,200
账务,199
网络安全,199
客服,199
精度,199
or,199
金属制品,199
单元测试,198
三年,198
耗材,198
推理,198
无人机,198
资质,198
产品设计,197
统一,197
量化,197
每月,197
紧密,196
维保,196
客户关系,196
保障系统,195
判断,194
提成,194
机械工程,194
以下,193
组装,193
语音,192
空调,192
Word,192
商户,192
一个,191
交换机,191
酒水,191
督导,191
资金,190
热爱,190
工单,190
通用设备,190
测试数据,190
工装,190
增长,190
缓存,189
界面,189
测试计划,189
远程,188
承接,188
住宿,188
能看懂,188
驾驶,188
供应,188
OQC,187
5Why,187
全过程,186
严格执行,186
影响,185
政府,185
制品,185
移动,184
包含,184
清单,184
模拟,184
面议,184
极强,183
消费,183
校验,183
享受,183
精密,183
分享,182
智慧,182
分解,182
意见,182
责任,182
核查,182
JAVA,181
行业标准,181
组织协调,181
可用,180
本科学历,180
法律法规,180
对应,179
申请,179
上班时间,178
TensorFlow,178
修订,178
出具,178
挑战,177
驻场,177
发生,177
消息,176
金蝶,176
OpenCV,176
出厂,176
服装,176
外贸,175
行为,175
退货,175
事件,175
二次开发,174
表现,174
测试工具,174
高级,173
PostgreSQL,173
风控,173
控制系统,173
细节,172
中级,172
路线,172
共同,172
感知,172
SMT,172
总经理,172
功底,171
高温,171
