口径,任务,实验,模型,特征,重要性
按简历,T1回归,①全特征+纯净标签,随机森林,简历技能数,0.00026
按简历,T1回归,①全特征+纯净标签,随机森林,岗位技能要求数,0.00713
按简历,T1回归,①全特征+纯净标签,随机森林,技能命中数,0.05363
按简历,T1回归,①全特征+纯净标签,随机森林,技能精确命中数,0.00021
按简历,T1回归,①全特征+纯净标签,随机森林,岗位技能标签数,0.00018
按简历,T1回归,①全特征+纯净标签,随机森林,岗位名称与期望岗位相似度,0.00038
按简历,T1回归,①全特征+纯净标签,随机森林,描述与简历文本相似度,0.00052
按简历,T1回归,①全特征+纯净标签,随机森林,描述与技能特长相似度,0.02424
按简历,T1回归,①全特征+纯净标签,随机森林,专业命中岗位描述,0.01382
按简历,T1回归,①全特征+纯净标签,随机森林,简历工作年限,0.41503
按简历,T1回归,①全特征+纯净标签,随机森林,是否应届,0.0
按简历,T1回归,①全特征+纯净标签,随机森林,岗位经验下限,0.07926
按简历,T1回归,①全特征+纯净标签,随机森林,岗位经验上限,0.08553
按简历,T1回归,①全特征+纯净标签,随机森林,岗位经验不限,3e-05
按简历,T1回归,①全特征+纯净标签,随机森林,岗位经验缺失,0.0375
按简历,T1回归,①全特征+纯净标签,随机森林,简历学历序数,0.02527
按简历,T1回归,①全特征+纯净标签,随机森林,岗位学历要求序数,0.0377
按简历,T1回归,①全特征+纯净标签,随机森林,距离km,0.18651
按简历,T1回归,①全特征+纯净标签,随机森林,是否同城,0.00058
按简历,T1回归,①全特征+纯净标签,随机森林,是否同省,4e-05
按简历,T1回归,①全特征+纯净标签,随机森林,岗位城市岗位数,0.00055
按简历,T1回归,①全特征+纯净标签,随机森林,岗位城市简历数,0.00027
按简历,T1回归,①全特征+纯净标签,随机森林,简历期望薪资下限,0.00332
按简历,T1回归,①全特征+纯净标签,随机森林,期望薪资面议,0.00118
按简历,T1回归,①全特征+纯净标签,随机森林,岗位薪资下限,0.00048
按简历,T1回归,①全特征+纯净标签,随机森林,岗位薪资上限,0.00108
按简历,T1回归,①全特征+纯净标签,随机森林,薪资上限与期望下限比,0.0209
按简历,T1回归,①全特征+纯净标签,随机森林,技术认证数,0.00059
按简历,T1回归,①全特征+纯净标签,随机森林,通用证书数,0.00016
按简历,T1回归,①全特征+纯净标签,随机森林,技术认证方向命中数,0.00256
按简历,T1回归,①全特征+纯净标签,随机森林,岗位大类,0.00017
按简历,T1回归,①全特征+纯净标签,随机森林,期望岗位大类,0.00037
按简历,T1回归,①全特征+纯净标签,随机森林,岗位大类一致,5e-05
按简历,T1回归,①全特征+纯净标签,随机森林,今日回复数,0.0002
按简历,T1回归,①全特征+纯净标签,随机森林,是否在线,4e-05
按简历,T1回归,①全特征+纯净标签,随机森林,同公司岗位数,0.00027
按简历,T1回归,①全特征+纯净标签,XGBoost,简历技能数,0.01189
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位技能要求数,0.00326
按简历,T1回归,①全特征+纯净标签,XGBoost,技能命中数,0.0216
按简历,T1回归,①全特征+纯净标签,XGBoost,技能精确命中数,0.00027
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位技能标签数,0.00046
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位名称与期望岗位相似度,8e-05
按简历,T1回归,①全特征+纯净标签,XGBoost,描述与简历文本相似度,7e-05
按简历,T1回归,①全特征+纯净标签,XGBoost,描述与技能特长相似度,0.01545
按简历,T1回归,①全特征+纯净标签,XGBoost,专业命中岗位描述,0.01891
按简历,T1回归,①全特征+纯净标签,XGBoost,简历工作年限,0.12758
按简历,T1回归,①全特征+纯净标签,XGBoost,是否应届,0.19309
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位经验下限,0.04889
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位经验上限,0.0542
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位经验不限,0.00041
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位经验缺失,0.08485
按简历,T1回归,①全特征+纯净标签,XGBoost,简历学历序数,0.02383
按简历,T1回归,①全特征+纯净标签,XGBoost,岗位学历要求序数,0.02338
