口径,实验,模型,训练行数,特征数,验证集_PR_AUC,验证集_ROC_AUC,验证集_P@10,验证集_R@10,验证集_MRR@10,验证集_NDCG@10,验证集_评估简历数,测试集_PR_AUC,测试集_ROC_AUC,测试集_P@10,测试集_R@10,测试集_MRR@10,测试集_NDCG@10,测试集_评估简历数,耗时秒
按简历,②全特征+噪声标签,随机基线,145070,36,0.1447,0.5,0.0965,0.0887,0.2628,0.1338,57,0.1809,0.5,0.1206,0.0555,0.2971,0.1471,63,0.1
按简历,②全特征+噪声标签,逻辑回归,145070,36,0.6976,0.9113,0.4439,0.2763,0.6094,0.5246,57,0.7463,0.9288,0.4937,0.2938,0.6614,0.5679,63,0.4
按简历,②全特征+噪声标签,LinearSVC,145070,36,0.6981,0.9097,0.4421,0.2816,0.6289,0.5304,57,0.7461,0.9283,0.4952,0.2718,0.6636,0.5664,63,1.2
按简历,②全特征+噪声标签,随机森林,145070,36,0.9395,0.9841,0.5965,0.4917,0.8914,0.831,57,0.9491,0.9857,0.6476,0.4764,0.8638,0.8026,63,4.0
按简历,②全特征+噪声标签,XGBoost,145070,36,0.9601,0.9893,0.6228,0.5262,0.921,0.8809,57,0.9652,0.9902,0.6714,0.5254,0.9111,0.8672,63,1.3
按简历,③仅文本相似度特征,随机基线,145070,3,0.1447,0.5,0.0965,0.0887,0.2628,0.1338,57,0.1809,0.5,0.1206,0.0555,0.2971,0.1471,63,0.0
按简历,③仅文本相似度特征,逻辑回归,145070,3,0.3124,0.6963,0.314,0.2355,0.5454,0.3987,57,0.3623,0.7109,0.3413,0.2237,0.5886,0.4166,63,0.1
按简历,③仅文本相似度特征,LinearSVC,145070,3,0.3087,0.6936,0.3123,0.225,0.5427,0.3945,57,0.3584,0.7084,0.346,0.2174,0.5801,0.4134,63,0.1
按简历,③仅文本相似度特征,随机森林,145070,3,0.3263,0.6974,0.3123,0.2263,0.4873,0.3757,57,0.3677,0.702,0.3063,0.2035,0.5393,0.3728,63,3.3
按简历,③仅文本相似度特征,XGBoost,145070,3,0.337,0.7091,0.3193,0.2369,0.5309,0.405,57,0.3797,0.7163,0.3317,0.2078,0.5245,0.3811,63,0.8
按岗位,②全特征+噪声标签,随机基线,144743,36,0.1661,0.5,0.1415,0.2301,0.3543,0.2258,284,0.1679,0.5,0.155,0.2656,0.4,0.2619,271,0.1
按岗位,②全特征+噪声标签,逻辑回归,144743,36,0.728,0.9314,0.393,0.6453,0.7581,0.7132,284,0.7403,0.9376,0.3952,0.6278,0.7347,0.7083,271,0.5
按岗位,②全特征+噪声标签,LinearSVC,144743,36,0.7336,0.9314,0.3933,0.6432,0.7567,0.7126,284,0.7451,0.9377,0.3945,0.6235,0.736,0.7062,271,1.2
按岗位,②全特征+噪声标签,随机森林,144743,36,0.9518,0.987,0.4852,0.7565,0.9356,0.9122,284,0.9527,0.9872,0.4845,0.7451,0.9506,0.9227,271,4.1
按岗位,②全特征+噪声标签,XGBoost,144743,36,0.9637,0.9903,0.4901,0.7682,0.9584,0.9367,284,0.9685,0.9915,0.4926,0.7572,0.9777,0.9524,271,1.4
按岗位,③仅文本相似度特征,随机基线,144743,3,0.1661,0.5,0.1415,0.2301,0.3543,0.2258,284,0.1679,0.5,0.155,0.2656,0.4,0.2619,271,0.1
按岗位,③仅文本相似度特征,逻辑回归,144743,3,0.3237,0.6856,0.2732,0.4849,0.6357,0.5322,284,0.3315,0.7,0.2838,0.5021,0.6451,0.5366,271,0.1
按岗位,③仅文本相似度特征,LinearSVC,144743,3,0.3207,0.6836,0.2722,0.4832,0.6199,0.5248,284,0.3293,0.6978,0.2797,0.4955,0.6371,0.5305,271,0.1
按岗位,③仅文本相似度特征,随机森林,144743,3,0.2252,0.5823,0.2049,0.3576,0.4238,0.3449,284,0.2304,0.5724,0.2137,0.3609,0.4692,0.3643,271,3.8
按岗位,③仅文本相似度特征,XGBoost,144743,3,0.3427,0.6952,0.2813,0.5162,0.6296,0.5387,284,0.3508,0.7108,0.2867,0.5011,0.6244,0.5273,271,0.9
