口径,实验,模型,训练行数,特征数,验证集_MAE,验证集_RMSE,验证集_R2,验证集_MedAE,测试集_MAE,测试集_RMSE,测试集_R2,测试集_MedAE,耗时秒
按简历,①全特征+纯净标签,均值基线,145070,36,8.4869,10.3466,-0.0021,7.4142,8.6047,10.4038,-0.0061,7.57,0.0
按简历,①全特征+纯净标签,线性回归,145070,36,4.7186,5.8417,0.6805,4.113,4.5729,5.5956,0.7089,4.1278,0.2
按简历,①全特征+纯净标签,SVR,20000,36,1.6132,2.3217,0.9495,1.1831,1.6911,2.3149,0.9502,1.2696,62.6
按简历,①全特征+纯净标签,随机森林,145070,36,0.5612,1.2743,0.9848,0.1041,0.5121,1.1682,0.9873,0.1328,9.7
按简历,①全特征+纯净标签,XGBoost,145070,36,0.3375,0.5009,0.9977,0.2232,0.3697,0.5569,0.9971,0.2444,1.1
按简历,②全特征+噪声标签,均值基线,145070,36,8.6176,10.5408,-0.0019,7.5044,8.7107,10.5617,-0.0059,7.6956,0.0
按简历,②全特征+噪声标签,线性回归,145070,36,4.9261,6.1565,0.6582,4.2207,4.755,5.8837,0.6878,4.2454,0.3
按简历,②全特征+噪声标签,SVR,20000,36,2.0002,3.0314,0.9171,1.3335,2.0571,3.0004,0.9188,1.4149,62.8
按简历,②全特征+噪声标签,随机森林,145070,36,1.2223,2.3845,0.9487,0.4056,1.1753,2.3182,0.9515,0.3877,10.7
按简历,②全特征+噪声标签,XGBoost,145070,36,0.8217,1.9735,0.9649,0.2826,0.8266,1.9476,0.9658,0.3023,1.2
按简历,③仅文本相似度特征,均值基线,145070,3,8.6176,10.5408,-0.0019,7.5044,8.7107,10.5617,-0.0059,7.6956,0.0
按简历,③仅文本相似度特征,线性回归,145070,3,8.1768,9.9778,0.1023,6.9012,8.2309,9.9303,0.1108,7.4127,0.0
按简历,③仅文本相似度特征,SVR,20000,3,7.9742,9.8005,0.1339,6.9118,7.9327,9.6557,0.1593,7.1489,49.8
按简历,③仅文本相似度特征,随机森林,145070,3,7.945,9.7389,0.1447,6.833,7.9209,9.6267,0.1644,7.1122,2.1
按简历,③仅文本相似度特征,XGBoost,145070,3,7.9534,9.7277,0.1467,6.8702,7.9064,9.5927,0.1702,7.1441,0.8
按岗位,①全特征+纯净标签,均值基线,144743,36,8.4185,10.2044,-0.0002,7.527,8.5311,10.3178,-0.0,7.527,0.0
按岗位,①全特征+纯净标签,线性回归,144743,36,4.4574,5.4015,0.7198,4.0857,4.4803,5.4281,0.7232,4.1331,0.3
按岗位,①全特征+纯净标签,SVR,20000,36,1.5611,2.2601,0.9509,1.1001,1.5686,2.2027,0.9544,1.129,62.1
按岗位,①全特征+纯净标签,随机森林,144743,36,0.266,0.8087,0.9937,0.0093,0.2494,0.7725,0.9944,0.0078,10.4
按岗位,①全特征+纯净标签,XGBoost,144743,36,0.3139,0.4832,0.9978,0.2105,0.304,0.4514,0.9981,0.2049,1.3
按岗位,②全特征+噪声标签,均值基线,144743,36,8.5282,10.3673,-0.0002,7.5256,8.655,10.5027,-0.0,7.5256,0.0
按岗位,②全特征+噪声标签,线性回归,144743,36,4.6436,5.7037,0.6973,4.1712,4.7031,5.7739,0.6978,4.2515,0.3
按岗位,②全特征+噪声标签,SVR,20000,36,1.9337,2.9575,0.9186,1.2324,1.9781,2.9743,0.9198,1.2734,64.6
按岗位,②全特征+噪声标签,随机森林,144743,36,0.956,2.1325,0.9577,0.2541,0.9775,2.1988,0.9562,0.2521,11.3
按岗位,②全特征+噪声标签,XGBoost,144743,36,0.7723,1.9173,0.9658,0.2569,0.8017,2.0004,0.9637,0.2571,1.3
按岗位,③仅文本相似度特征,均值基线,144743,3,8.5282,10.3673,-0.0002,7.5256,8.655,10.5027,-0.0,7.5256,0.0
按岗位,③仅文本相似度特征,线性回归,144743,3,8.0811,9.8055,0.1053,7.075,8.1673,9.9086,0.1099,7.1535,0.0
按岗位,③仅文本相似度特征,SVR,20000,3,7.8612,9.5951,0.1433,6.9795,7.9323,9.6882,0.1491,7.0429,49.9
按岗位,③仅文本相似度特征,随机森林,144743,3,7.8669,9.5942,0.1434,6.9454,7.9344,9.6853,0.1496,7.0001,2.1
按岗位,③仅文本相似度特征,XGBoost,144743,3,7.8116,9.5094,0.1585,6.9255,7.901,9.6221,0.1607,7.0034,0.7
