阶段,配置,参数,验证集指标,耗时秒
调参,T1_RF_按简历,"{""max_depth"": 8}",2.2331,1.9
调参,T1_RF_按简历,"{""max_depth"": 16}",1.3883,4.7
调参,T1_RF_按简历,"{""max_depth"": null}",1.4257,5.9
调参,T1_XGB_按简历,"{""learning_rate"": 0.05}",0.9113,0.8
调参,T1_XGB_按简历,"{""learning_rate"": 0.1}",0.9438,0.6
调参,T2_RF_按简历,"{""max_depth"": 8}",0.4569,1.3
调参,T2_RF_按简历,"{""max_depth"": 16}",0.8013,1.5
调参,T2_RF_按简历,"{""max_depth"": null}",0.7691,1.5
调参,T2_XGB_按简历,"{""learning_rate"": 0.05}",0.8325,0.7
调参,T2_XGB_按简历,"{""learning_rate"": 0.1}",0.856,0.7
调参,T1_RF_按岗位,"{""max_depth"": 8}",1.996,2.2
调参,T1_RF_按岗位,"{""max_depth"": 16}",1.1026,4.7
调参,T1_RF_按岗位,"{""max_depth"": null}",1.1464,6.1
调参,T1_XGB_按岗位,"{""learning_rate"": 0.05}",0.831,0.7
调参,T1_XGB_按岗位,"{""learning_rate"": 0.1}",0.8495,0.7
调参,T2_RF_按岗位,"{""max_depth"": 8}",0.5051,1.4
调参,T2_RF_按岗位,"{""max_depth"": 16}",0.8202,1.6
调参,T2_RF_按岗位,"{""max_depth"": null}",0.8482,1.6
调参,T2_XGB_按岗位,"{""learning_rate"": 0.05}",0.8503,0.7
调参,T2_XGB_按岗位,"{""learning_rate"": 0.1}",0.8683,0.7
