类型,关键词,出现简历数,占比(%)
技能,MySQL,220,44.0
技能,Python,175,35.0
技能,Docker,147,29.4
技能,Redis,141,28.2
技能,Linux,103,20.6
技能,Java,74,14.8
技能,SQL,73,14.6
技能,SpringBoot,72,14.4
技能,微服务,68,13.6
技能,Git,62,12.4
技能,特征工程,49,9.8
技能,接口测试,49,9.8
技能,Postman,48,9.6
技能,测试用例设计,48,9.6
技能,TestNG,48,9.6
技能,Selenium,46,9.2
技能,算法优化,45,9.0
技能,NLP,44,8.8
技能,JMeter,44,8.8
技能,计算机视觉,44,8.8
技能,功能测试,44,8.8
技能,性能测试,44,8.8
技能,机器学习,43,8.6
技能,PyTorch,42,8.4
技能,深度学习,42,8.4
技能,Appium,42,8.4
技能,缺陷管理,41,8.2
技能,PostgreSQL,41,8.2
技能,Ansible,40,8.0
技能,Flask,40,8.0
技能,React,40,8.0
技能,Celery,39,7.8
技能,Kubernetes,38,7.6
技能,网络运维,38,7.6
技能,Kafka,38,7.6
技能,Webpack,38,7.6
技能,Pandas,37,7.4
技能,Element UI,37,7.4
技能,Vue,37,7.4
技能,Gin,37,7.4
技能,数据可视化,36,7.2
技能,Prometheus,36,7.2
技能,移动端适配,36,7.2
技能,Tableau,35,7.0
技能,Hive,35,7.0
技能,TensorFlow,35,7.0
技能,JavaScript,35,7.0
技能,数据结构,35,7.0
技能,Vite,35,7.0
技能,MyBatis,34,6.8
技能,用户分析,34,6.8
技能,FastAPI,34,6.8
技能,K8s,34,6.8
技能,Power BI,34,6.8
技能,Zabbix,33,6.6
技能,Django,33,6.6
技能,Go,33,6.6
技能,爬虫,32,6.4
技能,推荐算法,32,6.4
技能,TypeScript,32,6.4
技能,HTML5,32,6.4
技能,Jenkins,31,6.2
技能,RabbitMQ,31,6.2
技能,MongoDB,31,6.2
技能,Axios,30,6.0
技能,CSS3,30,6.0
技能,Excel,29,5.8
技能,SpringCloud,29,5.8
技能,Shell,28,5.6
技能,JVM调优,27,5.4
技能,Ant Design,27,5.4
技能,NumPy,26,5.2
技能,Nginx,24,4.8
技能,统计学,23,4.6
证书,计算机二级,83,16.6
证书,计算机一级,80,16.0
证书,英语四级,79,15.8
证书,英语六级,71,14.2
证书,软考中级,57,11.4
证书,软件设计师（中级）,47,9.4
证书,红帽RHCE认证,46,9.2
证书,阿里云ACP云计算认证,44,8.8
证书,系统架构设计师,43,8.6
证书,PMP项目管理专业人士,38,7.6
证书,MySQL数据库认证,37,7.4
证书,华为HCIA认证,34,6.8
