类型,关键词,出现简历数,占全部简历比例(%)
技能,MySQL,232,46.4
技能,Python,195,39.0
技能,Docker,150,30.0
技能,Redis,142,28.4
技能,Linux,90,18.0
技能,Java,85,17.0
技能,微服务,71,14.2
技能,SpringBoot,71,14.2
技能,SQL,65,13.0
技能,Git,55,11.0
技能,Postman,48,9.6
技能,K8s,48,9.6
技能,Selenium,47,9.4
技能,TestNG,47,9.4
技能,测试用例设计,45,9.0
技能,性能测试,43,8.6
技能,接口测试,43,8.6
技能,FastAPI,42,8.4
技能,Appium,42,8.4
技能,移动端适配,41,8.2
技能,网络运维,41,8.2
技能,Gin,41,8.2
技能,PostgreSQL,41,8.2
技能,Pandas,40,8.0
技能,Prometheus,40,8.0
技能,Go,40,8.0
技能,Excel,39,7.8
技能,缺陷管理,39,7.8
技能,TensorFlow,39,7.8
技能,JVM调优,39,7.8
技能,Zabbix,39,7.8
技能,特征工程,38,7.6
技能,用户分析,38,7.6
技能,Ansible,38,7.6
技能,Flask,37,7.4
技能,JavaScript,37,7.4
技能,功能测试,37,7.4
技能,Kubernetes,37,7.4
技能,Nginx,37,7.4
技能,Kafka,37,7.4
技能,JMeter,36,7.2
技能,机器学习,36,7.2
技能,Axios,36,7.2
技能,数据结构,36,7.2
技能,Webpack,36,7.2
技能,Shell,36,7.2
技能,CSS3,35,7.0
技能,MyBatis,35,7.0
技能,计算机视觉,34,6.8
技能,PyTorch,34,6.8
技能,Django,34,6.8
技能,Vue,34,6.8
技能,RabbitMQ,34,6.8
技能,Power BI,34,6.8
技能,MongoDB,33,6.6
技能,NLP,33,6.6
技能,Hive,33,6.6
技能,Vite,33,6.6
技能,Jenkins,33,6.6
技能,Tableau,32,6.4
技能,深度学习,31,6.2
技能,爬虫,31,6.2
技能,React,31,6.2
技能,TypeScript,31,6.2
技能,HTML5,31,6.2
技能,Element UI,31,6.2
技能,统计学,30,6.0
技能,Celery,30,6.0
技能,Ant Design,30,6.0
技能,数据可视化,29,5.8
技能,NumPy,29,5.8
技能,推荐算法,27,5.4
技能,SpringCloud,25,5.0
技能,算法优化,19,3.8
证书,英语六级,84,16.8
证书,计算机一级,76,15.2
证书,英语四级,74,14.8
证书,计算机二级,62,12.4
证书,软考中级,60,12.0
证书,红帽RHCE认证,47,9.4
证书,华为HCIA认证,42,8.4
证书,系统架构设计师,38,7.6
证书,MySQL数据库认证,37,7.4
证书,阿里云ACP云计算认证,34,6.8
证书,软件设计师（中级）,30,6.0
证书,PMP项目管理专业人士,30,6.0
