维度,取值,数量,占比(%)
性别,男,253,50.6
性别,女,247,49.4
学历,本科,315,63.0
学历,专科,185,37.0
期望城市,宁德,24,4.8
期望城市,温州,22,4.4
期望城市,南通,21,4.2
期望城市,扬州,20,4.0
期望城市,安庆,19,3.8
期望城市,泉州,19,3.8
期望城市,滁州,19,3.8
期望城市,苏州,19,3.8
期望城市,宁波,19,3.8
期望城市,杭州,18,3.6
期望城市,无锡,18,3.6
期望城市,台州,18,3.6
期望城市,南京,17,3.4
期望城市,厦门,17,3.4
期望城市,莆田,17,3.4
期望城市,南平,16,3.2
期望城市,金华,16,3.2
期望城市,阜阳,16,3.2
期望城市,龙岩,15,3.0
期望城市,镇江,15,3.0
期望城市,马鞍山,14,2.8
期望城市,漳州,14,2.8
期望城市,绍兴,13,2.6
期望城市,福州,13,2.6
期望城市,常州,12,2.4
期望城市,蚌埠,12,2.4
期望城市,合肥,11,2.2
期望城市,芜湖,11,2.2
期望城市,黄山,10,2.0
期望城市,嘉兴,10,2.0
期望城市,徐州,8,1.6
期望城市,三明,7,1.4
期望岗位,软件测试工程师,74,14.8
期望岗位,后端开发工程师,71,14.2
期望岗位,运维工程师,66,13.2
期望岗位,数据分析师,61,12.2
期望岗位,算法工程师,60,12.0
期望岗位,前端开发工程师,57,11.4
期望岗位,Java开发工程师,56,11.2
期望岗位,Python开发工程师,55,11.0
期望行业,互联网/信息技术/软件服务,500,100.0
期望薪资,面议,98,19.6
期望薪资,5500-6000元,17,3.4
期望薪资,7500-8000元,15,3.0
期望薪资,5000-5500元,13,2.6
期望薪资,11500-12000元,13,2.6
期望薪资,7000-7500元,10,2.0
期望薪资,19500-20000元,8,1.6
期望薪资,5000-6000元,7,1.4
期望薪资,7000-8000元,7,1.4
期望薪资,4000-4500元,6,1.2
期望薪资,3000-5500元,6,1.2
期望薪资,4000-5000元,6,1.2
期望薪资,6500-7000元,6,1.2
期望薪资,4500-5500元,6,1.2
期望薪资,3000-4000元,5,1.0
期望薪资,11000-12000元,5,1.0
期望薪资,6000-7000元,5,1.0
期望薪资,3000-6000元,5,1.0
期望薪资,10000-11500元,5,1.0
期望薪资,4500-7000元,4,0.8
期望薪资,10500-11500元,4,0.8
期望薪资,6000-7500元,4,0.8
期望薪资,3000-3500元,4,0.8
期望薪资,4000-5500元,4,0.8
期望薪资,3500-4000元,4,0.8
期望薪资,10500-12000元,4,0.8
期望薪资,4500-6000元,3,0.6
期望薪资,3500-5500元,3,0.6
期望薪资,6000-6500元,3,0.6
期望薪资,4500-5000元,3,0.6
期望薪资,11000-11500元,3,0.6
期望薪资,9000-11500元,3,0.6
期望薪资,6500-7500元,3,0.6
期望薪资,8000-8500元,3,0.6
期望薪资,10000-12000元,3,0.6
期望薪资,3500-5000元,3,0.6
期望薪资,4000-6000元,3,0.6
期望薪资,3500-6000元,3,0.6
期望薪资,9000-12000元,3,0.6
期望薪资,3500-4500元,3,0.6
期望薪资,19000-19500元,3,0.6
期望薪资,3000-5000元,3,0.6
期望薪资,10000-10500元,3,0.6
期望薪资,9000-10500元,2,0.4
期望薪资,5000-8000元,2,0.4
期望薪资,7500-10500元,2,0.4
期望薪资,16000-18500元,2,0.4
期望薪资,18000-20000元,2,0.4
期望薪资,32500-34000元,2,0.4
期望薪资,16500-18000元,2,0.4
期望薪资,7500-11500元,2,0.4
期望薪资,10500-11000元,2,0.4
期望薪资,15000-19000元,2,0.4
期望薪资,7500-11000元,2,0.4
期望薪资,7500-10000元,2,0.4
期望薪资,4000-8000元,2,0.4
期望薪资,8000-9500元,2,0.4
期望薪资,12000-16500元,2,0.4
期望薪资,6000-8000元,2,0.4
期望薪资,7000-10500元,2,0.4
期望薪资,9000-11000元,2,0.4
期望薪资,8000-11000元,2,0.4
期望薪资,8000-12000元,2,0.4
期望薪资,16500-19000元,2,0.4
期望薪资,10000-13500元,2,0.4
期望薪资,16000-17000元,2,0.4
期望薪资,6500-10500元,2,0.4
期望薪资,9000-10000元,2,0.4
期望薪资,17000-19500元,2,0.4
期望薪资,6500-10000元,2,0.4
期望薪资,17000-17500元,2,0.4
期望薪资,6000-9000元,2,0.4
期望薪资,7000-9000元,2,0.4
期望薪资,6500-8500元,2,0.4
期望薪资,9500-11000元,2,0.4
期望薪资,13500-18000元,2,0.4
期望薪资,6000-12000元,2,0.4
期望薪资,17500-19000元,2,0.4
期望薪资,7000-12000元,2,0.4
期望薪资,23000-24500元,1,0.2
期望薪资,10500-20000元,1,0.2
期望薪资,32000-33000元,1,0.2
期望薪资,10500-14500元,1,0.2
期望薪资,16500-22500元,1,0.2
期望薪资,32000-33500元,1,0.2
期望薪资,23500-34000元,1,0.2
期望薪资,13000-18500元,1,0.2
期望薪资,14500-19500元,1,0.2
期望薪资,5500-7000元,1,0.2
期望薪资,14000-19500元,1,0.2
期望薪资,6000-11000元,1,0.2
期望薪资,16500-28000元,1,0.2
期望薪资,16500-30000元,1,0.2
期望薪资,4500-6500元,1,0.2
期望薪资,5500-7500元,1,0.2
期望薪资,16000-18000元,1,0.2
期望薪资,9500-11500元,1,0.2
期望薪资,10000-19000元,1,0.2
期望薪资,18000-19000元,1,0.2
期望薪资,4000-6500元,1,0.2
期望薪资,24000-34000元,1,0.2
期望薪资,7500-12000元,1,0.2
期望薪资,10000-16000元,1,0.2
期望薪资,25000-34000元,1,0.2
期望薪资,32500-33500元,1,0.2
期望薪资,27500-33500元,1,0.2
期望薪资,6000-10000元,1,0.2
期望薪资,11500-15500元,1,0.2
期望薪资,30000-31500元,1,0.2
期望薪资,4500-8000元,1,0.2
期望薪资,15000-18500元,1,0.2
期望薪资,17000-19000元,1,0.2
期望薪资,19000-20000元,1,0.2
期望薪资,27500-31500元,1,0.2
期望薪资,7500-9500元,1,0.2
期望薪资,32000-35000元,1,0.2
期望薪资,13000-17000元,1,0.2
期望薪资,17500-18500元,1,0.2
期望薪资,9500-12000元,1,0.2
期望薪资,27500-30000元,1,0.2
期望薪资,8500-9500元,1,0.2
期望薪资,14500-18000元,1,0.2
期望薪资,16000-19000元,1,0.2
期望薪资,7000-11000元,1,0.2
期望薪资,11000-18500元,1,0.2
期望薪资,29000-32000元,1,0.2
期望薪资,26000-35000元,1,0.2
期望薪资,12500-13500元,1,0.2
期望薪资,14500-15000元,1,0.2
期望薪资,6500-11000元,1,0.2
期望薪资,13000-16500元,1,0.2
期望薪资,8500-12000元,1,0.2
期望薪资,10500-13500元,1,0.2
期望薪资,15500-19500元,1,0.2
期望薪资,7500-9000元,1,0.2
期望薪资,7000-11500元,1,0.2
期望薪资,13000-16000元,1,0.2
期望薪资,27000-28500元,1,0.2
期望薪资,15000-19500元,1,0.2
期望薪资,12500-19500元,1,0.2
期望薪资,7000-8500元,1,0.2
期望薪资,33000-34000元,1,0.2
期望薪资,10500-16500元,1,0.2
期望薪资,25500-29000元,1,0.2
期望薪资,7000-10000元,1,0.2
期望薪资,14000-15000元,1,0.2
期望薪资,15000-18000元,1,0.2
期望薪资,15000-16500元,1,0.2
期望薪资,4500-7500元,1,0.2
期望薪资,24500-29500元,1,0.2
期望薪资,8500-11500元,1,0.2
期望薪资,4000-7500元,1,0.2
期望薪资,14500-17000元,1,0.2
期望薪资,11500-16500元,1,0.2
期望薪资,6500-9500元,1,0.2
期望薪资,23500-29500元,1,0.2
期望薪资,12000-18500元,1,0.2
期望薪资,26000-28500元,1,0.2
期望薪资,17500-24500元,1,0.2
期望薪资,15000-17000元,1,0.2
期望薪资,11000-16000元,1,0.2
期望薪资,11500-14500元,1,0.2
期望薪资,13500-14500元,1,0.2
期望薪资,11000-19000元,1,0.2
期望薪资,19000-33000元,1,0.2
期望薪资,3000-4500元,1,0.2
期望薪资,21500-25500元,1,0.2
期望薪资,15000-15500元,1,0.2
期望薪资,18000-19500元,1,0.2
期望薪资,28000-28500元,1,0.2
期望薪资,13500-16500元,1,0.2
期望薪资,9000-9500元,1,0.2
期望薪资,8500-9000元,1,0.2
期望薪资,13500-20000元,1,0.2
期望薪资,11000-14500元,1,0.2
期望薪资,18500-19000元,1,0.2
期望薪资,6000-10500元,1,0.2
期望薪资,21000-27000元,1,0.2
期望薪资,20000-35000元,1,0.2
期望薪资,31500-34500元,1,0.2
期望薪资,12000-19500元,1,0.2
期望薪资,28500-33500元,1,0.2
期望薪资,17000-35000元,1,0.2
期望薪资,8000-10500元,1,0.2
期望薪资,34500-35000元,1,0.2
期望薪资区间(按下限),6000 元以下,123,24.6
期望薪资区间(按下限),6000-8000 元,91,18.2
期望薪资区间(按下限),8000-10000 元,31,6.2
期望薪资区间(按下限),10000-15000 元,78,15.6
期望薪资区间(按下限),15000-20000 元,50,10.0
期望薪资区间(按下限),20000 元以上,29,5.8
期望薪资区间(按下限),面议/未填写,98,19.6
毕业年份,2022,172,34.4
毕业年份,2021,82,16.4
毕业年份,2019,75,15.0
毕业年份,2020,55,11.0
毕业年份,2017,45,9.0
毕业年份,2018,30,6.0
毕业年份,2014,11,2.2
毕业年份,2016,9,1.8
毕业年份,2015,8,1.6
毕业年份,2012,8,1.6
毕业年份,2013,5,1.0
工作年限区间,应届/无经验,206,41.2
工作年限区间,1年以内,48,9.6
工作年限区间,1-3年,130,26.0
工作年限区间,3-5年,75,15.0
工作年限区间,5年以上,41,8.2
是否应届,否,294,58.8
是否应届,是,206,41.2
技能数量区间,4-6 项,219,43.8
技能数量区间,7-8 项,161,32.2
技能数量区间,9 项及以上,120,24.0
证书数量,1 项,195,39.0
证书数量,2 项,133,26.6
证书数量,0 项,121,24.2
证书数量,3 项,51,10.2
项目数量,2 项,370,74.0
项目数量,1 项,130,26.0
工作经历段数,1 段,254,50.8
工作经历段数,2 段,160,32.0
工作经历段数,3 段,86,17.2
是否有在职经历(至今),是,370,74.0
是否有在职经历(至今),否,130,26.0
邮箱域名,qq.com,108,21.6
邮箱域名,gmail.com,100,20.0
邮箱域名,outlook.com,99,19.8
邮箱域名,126.com,99,19.8
邮箱域名,163.com,94,18.8
毕业院校,福建船政交通职业学院,29,5.8
毕业院校,厦门海洋职业技术学院,24,4.8
毕业院校,苏州职业大学,22,4.4
毕业院校,东南大学,21,4.2
毕业院校,江西交通职业技术学院,18,3.6
毕业院校,福建信息职业技术学院,18,3.6
毕业院校,中山大学,18,3.6
毕业院校,福州职业技术学院,18,3.6
毕业院校,广东轻工职业技术学院,17,3.4
毕业院校,南京理工大学,16,3.2
毕业院校,江西师范大学,16,3.2
毕业院校,暨南大学,15,3.0
毕业院校,佛山科学技术学院,15,3.0
毕业院校,厦门理工学院,15,3.0
毕业院校,苏州科技大学,15,3.0
毕业院校,福建农林大学,15,3.0
毕业院校,深圳职业技术学院,14,2.8
毕业院校,泉州师范学院,14,2.8
毕业院校,南京工业职业技术大学,14,2.8
毕业院校,南京大学,13,2.6
毕业院校,浙江工业大学,13,2.6
毕业院校,厦门大学,13,2.6
毕业院校,广东技术师范大学,13,2.6
毕业院校,苏州大学,11,2.2
毕业院校,福州大学,11,2.2
毕业院校,东莞理工学院,11,2.2
毕业院校,泉州经贸职业技术学院,11,2.2
毕业院校,浙江大学,10,2.0
毕业院校,闽南师范大学,10,2.0
毕业院校,浙江万里学院,10,2.0
毕业院校,集美大学,9,1.8
毕业院校,华南理工大学,9,1.8
毕业院校,南昌大学,8,1.6
毕业院校,南京工程学院,7,1.4
毕业院校,福建师范大学,7,1.4
专业,通信工程,53,10.6
专业,软件技术,49,9.8
专业,信息管理与信息系统,49,9.8
专业,计算机应用技术,44,8.8
专业,物联网工程,44,8.8
专业,数字媒体技术,43,8.6
专业,电子信息工程,41,8.2
专业,计算机科学与技术,40,8.0
专业,数学与应用数学,37,7.4
专业,网络工程,37,7.4
专业,软件工程,32,6.4
专业,数据科学与大数据技术,31,6.2
居住地,宁德,24,4.8
居住地,温州,22,4.4
居住地,南通,21,4.2
居住地,扬州,20,4.0
居住地,安庆,19,3.8
居住地,泉州,19,3.8
居住地,滁州,19,3.8
居住地,苏州,19,3.8
居住地,宁波,19,3.8
居住地,杭州,18,3.6
居住地,无锡,18,3.6
居住地,台州,18,3.6
居住地,南京,17,3.4
居住地,厦门,17,3.4
居住地,莆田,17,3.4
居住地,南平,16,3.2
居住地,金华,16,3.2
居住地,阜阳,16,3.2
居住地,龙岩,15,3.0
居住地,镇江,15,3.0
居住地,马鞍山,14,2.8
居住地,漳州,14,2.8
居住地,绍兴,13,2.6
居住地,福州,13,2.6
居住地,常州,12,2.4
居住地,蚌埠,12,2.4
居住地,合肥,11,2.2
居住地,芜湖,11,2.2
居住地,黄山,10,2.0
居住地,嘉兴,10,2.0
居住地,徐州,8,1.6
居住地,三明,7,1.4
技能,MySQL,232,46.4
技能,Python,195,39.0
技能,Docker,150,30.0
技能,Redis,142,28.4
技能,Linux,90,18.0
技能,Java,85,17.0
技能,微服务,71,14.2
技能,SpringBoot,71,14.2
技能,SQL,65,13.0
技能,Git,55,11.0
技能,Postman,48,9.6
技能,K8s,48,9.6
技能,Selenium,47,9.4
技能,TestNG,47,9.4
技能,测试用例设计,45,9.0
技能,性能测试,43,8.6
技能,接口测试,43,8.6
技能,FastAPI,42,8.4
技能,Appium,42,8.4
技能,移动端适配,41,8.2
技能,网络运维,41,8.2
技能,Gin,41,8.2
技能,PostgreSQL,41,8.2
技能,Pandas,40,8.0
技能,Prometheus,40,8.0
技能,Go,40,8.0
技能,Excel,39,7.8
技能,缺陷管理,39,7.8
技能,TensorFlow,39,7.8
技能,JVM调优,39,7.8
技能,Zabbix,39,7.8
技能,特征工程,38,7.6
技能,用户分析,38,7.6
技能,Ansible,38,7.6
技能,Flask,37,7.4
技能,JavaScript,37,7.4
技能,功能测试,37,7.4
技能,Kubernetes,37,7.4
技能,Nginx,37,7.4
技能,Kafka,37,7.4
技能,JMeter,36,7.2
技能,机器学习,36,7.2
技能,Axios,36,7.2
技能,数据结构,36,7.2
技能,Webpack,36,7.2
技能,Shell,36,7.2
技能,CSS3,35,7.0
技能,MyBatis,35,7.0
技能,计算机视觉,34,6.8
技能,PyTorch,34,6.8
技能,Django,34,6.8
技能,Vue,34,6.8
技能,RabbitMQ,34,6.8
技能,Power BI,34,6.8
技能,MongoDB,33,6.6
技能,NLP,33,6.6
技能,Hive,33,6.6
技能,Vite,33,6.6
技能,Jenkins,33,6.6
技能,Tableau,32,6.4
技能,深度学习,31,6.2
技能,爬虫,31,6.2
技能,React,31,6.2
技能,TypeScript,31,6.2
技能,HTML5,31,6.2
技能,Element UI,31,6.2
技能,统计学,30,6.0
技能,Celery,30,6.0
技能,Ant Design,30,6.0
技能,数据可视化,29,5.8
