原始写法,规范化写法,下限(元/月),上限(元/月),原单位,出现行数
1-1.5万,10000-15000元,10000,15000,月,361
6000-8000元,6000-8000元,6000,8000,月,279
8000-12000元,8000-12000元,8000,12000,月,246
1-2万,10000-20000元,10000,20000,月,211
5000-7000元,5000-7000元,5000,7000,月,210
8000-10000元,8000-10000元,8000,10000,月,191
8000-15000元,8000-15000元,8000,15000,月,175
5000-8000元,5000-8000元,5000,8000,月,173
6000-10000元,6000-10000元,6000,10000,月,165
4000-6000元,4000-6000元,4000,6000,月,161
5000-10000元,5000-10000元,5000,10000,月,159
1.5-2.5万,15000-25000元,15000,25000,月,153
7000-10000元,7000-10000元,7000,10000,月,152
5000-6000元,5000-6000元,5000,6000,月,139
6000-12000元,6000-12000元,6000,12000,月,126
1.5-2万,15000-20000元,15000,20000,月,121
7000-9000元,7000-9000元,7000,9000,月,121
7000-12000元,7000-12000元,7000,12000,月,113
1.5-3万,15000-30000元,15000,30000,月,110
6000-9000元,6000-9000元,6000,9000,月,105
8000-16000元,8000-16000元,8000,16000,月,101
4000-8000元,4000-8000元,4000,8000,月,99
4000-5000元,4000-5000元,4000,5000,月,96
1.2-2万,12000-20000元,12000,20000,月,93
1-1.5万·13薪,10000-15000元·13薪,10000,15000,月,88
8000-13000元,8000-13000元,8000,13000,月,85
7000-8000元,7000-8000元,7000,8000,月,82
6000-7000元,6000-7000元,6000,7000,月,77
1-1.3万,10000-13000元,10000,13000,月,74
6000-8000元·13薪,6000-8000元·13薪,6000,8000,月,73
8000-12000元·13薪,8000-12000元·13薪,8000,12000,月,72
1-2万·13薪,10000-20000元·13薪,10000,20000,月,67
1-1.2万,10000-12000元,10000,12000,月,64
2-3万,20000-30000元,20000,30000,月,63
7000-14000元,7000-14000元,7000,14000,月,63
9000-12000元,9000-12000元,9000,12000,月,61
1-1.8万,10000-18000元,10000,18000,月,55
1.2-1.5万,12000-15000元,12000,15000,月,54
1.2-1.8万,12000-18000元,12000,18000,月,53
5000-7000元·13薪,5000-7000元·13薪,5000,7000,月,50
1.2-2.4万,12000-24000元,12000,24000,月,49
2-4万,20000-40000元,20000,40000,月,49
4000-7000元,4000-7000元,4000,7000,月,48
7000-10000元·13薪,7000-10000元·13薪,7000,10000,月,46
9000-15000元,9000-15000元,9000,15000,月,46
8000-11000元,8000-11000元,8000,11000,月,46
8000-10000元·13薪,8000-10000元·13薪,8000,10000,月,45
1-1.6万,10000-16000元,10000,16000,月,44
9000-13000元,9000-13000元,9000,13000,月,41
1.5-2.5万·13薪,15000-25000元·13薪,15000,25000,月,40
8000-15000元·13薪,8000-15000元·13薪,8000,15000,月,40
5000-9000元,5000-9000元,5000,9000,月,39
9000-14000元,9000-14000元,9000,14000,月,39
9000-18000元,9000-18000元,9000,18000,月,39
1-1.4万,10000-14000元,10000,14000,月,39
9000-11000元,9000-11000元,9000,11000,月,39
8000-9000元,8000-9000元,8000,9000,月,39
3000-5000元,3000-5000元,3000,5000,月,38
9000-10000元,9000-10000元,9000,10000,月,38
6000-9000元·13薪,6000-9000元·13薪,6000,9000,月,38
5000-8000元·13薪,5000-8000元·13薪,5000,8000,月,38
7000-11000元,7000-11000元,7000,11000,月,38
7000-9000元·13薪,7000-9000元·13薪,7000,9000,月,37
1.5-2万·13薪,15000-20000元·13薪,15000,20000,月,35
3000-6000元,3000-6000元,3000,6000,月,35
2-2.5万,20000-25000元,20000,25000,月,35
1.1-1.5万,11000-15000元,11000,15000,月,34
1.5-3万·13薪,15000-30000元·13薪,15000,30000,月,33
6000-10000元·13薪,6000-10000元·13薪,6000,10000,月,33
4000-6000元·13薪,4000-6000元·13薪,4000,6000,月,31
1.1-2万,11000-20000元,11000,20000,月,30
1.2-1.6万,12000-16000元,12000,16000,月,29
3000-4000元,3000-4000元,3000,4000,月,29
150-200元/天,3262-4350元,3262,4350,日,28
7000-12000元·13薪,7000-12000元·13薪,7000,12000,月,27
8000-16000元·13薪,8000-16000元·13薪,8000,16000,月,27
8000-14000元,8000-14000元,8000,14000,月,27
1-1.2万·13薪,10000-12000元·13薪,10000,12000,月,25
1-1.5万·14薪,10000-15000元·14薪,10000,15000,月,25
1-2万·15薪,10000-20000元·15薪,10000,20000,月,25
8000-13000元·13薪,8000-13000元·13薪,8000,13000,月,25
6000-12000元·13薪,6000-12000元·13薪,6000,12000,月,25
1.1-1.6万,11000-16000元,11000,16000,月,24
1.1-1.3万,11000-13000元,11000,13000,月,24
1-1.1万,10000-11000元,10000,11000,月,23
1.5-2.5万·14薪,15000-25000元·14薪,15000,25000,月,23
1.3-1.8万,13000-18000元,13000,18000,月,23
5000-6000元·13薪,5000-6000元·13薪,5000,6000,月,22
1-1.5万·15薪,10000-15000元·15薪,10000,15000,月,22
1.3-2万,13000-20000元,13000,20000,月,22
1-2万·16薪,10000-20000元·16薪,10000,20000,月,22
7000-8000元·13薪,7000-8000元·13薪,7000,8000,月,22
6000-7000元·13薪,6000-7000元·13薪,6000,7000,月,21
2.5-3.5万,25000-35000元,25000,35000,月,20
1.5-2万·14薪,15000-20000元·14薪,15000,20000,月,19
1.2-1.7万,12000-17000元,12000,17000,月,18
1.8-3万,18000-30000元,18000,30000,月,18
6000-11000元,6000-11000元,6000,11000,月,18
1.3-1.4万,13000-14000元,13000,14000,月,18
1-2万·14薪,10000-20000元·14薪,10000,20000,月,18
1.5-3万·14薪,15000-30000元·14薪,15000,30000,月,18
80-150元/天,1740-3262元,1740,3262,日,18
2-3.5万,20000-35000元,20000,35000,月,18
1.5-2.2万,15000-22000元,15000,22000,月,17
1.2-2万·13薪,12000-20000元·13薪,12000,20000,月,17
1.3-1.5万,13000-15000元,13000,15000,月,17
5000-10000元·13薪,5000-10000元·13薪,5000,10000,月,17
1.3-1.6万,13000-16000元,13000,16000,月,16
9000-13000元·13薪,9000-13000元·13薪,9000,13000,月,16
1.2-1.5万·13薪,12000-15000元·13薪,12000,15000,月,16
2.5-5万,25000-50000元,25000,50000,月,16
9000-15000元·13薪,9000-15000元·13薪,9000,15000,月,16
1.2-1.8万·13薪,12000-18000元·13薪,12000,18000,月,16
3-5万,30000-50000元,30000,50000,月,16
