job_key,岗位名称,岗位薪资,岗位地区,学历要求,经验要求,技能标签,公司名字,来源关键词,城市(实测),抓取时间
a65e9a9deb7f90ce,AI算法开发工程师,8000-16000元·14薪,福州 鼓楼 温泉,本科,1-3年,深度学习|机器学习|图像算法|||,福建闽光软件股份有限公司,Java,福州,2026/9/7 18:25
a3408f3fdd637f04,java开发工程师,6000-12000元,福州 鼓楼 鼓东,本科,3-5年,软件/IT服务,北京宏天信业信息技术股份有限公司,Java,福州,2026/9/7 18:25
2f72ef77ba9e0507,PHP开发工程师,1-2万·13薪,福州 仓山 金山,大专,3-5年,后端开发|ThinkPHP|互联网电商|||,福州剑讯网络科技有限公司,Java,福州,2026/9/7 18:25
4269bdbe90f8eea1,软件开发工程师,7000-10000元,福州 闽侯 上街,本科,3-5年,JavaScript|Spring|Mybatis|||,福建慧舟信息科技有限公司,Java,福州,2026/9/7 18:25
a7b42f95e703c322,软件开发技术员,5000-8000元,福州 鼓楼 华大,本科,1-3年,Python|JavaScript|C++|||||||||||,唯诚保险经纪有限公司福建分公司,Java,福州,2026/9/7 18:25
dbf2f1909142b92d,Java开发工程师,7000-12000元,福州 闽侯 上街,大专,3-5年,JavaScript|Spring|Hibernate|||,福建科融世纪信息科技有限公司,Java,福州,2026/9/7 18:25
8eeadceb3aae5b39,Java工程师（国企、周末双休，五险一金）,8000-10000元·13薪,福州 闽侯 荆溪,本科,3-5年,前端开发|后端开发|信息安全||,凯特科技,Java,福州,2026/9/7 18:25
24b5ec1b9c1ba0cb,Java实习生（26/27届）,80-100元/天,福州 闽侯 上街,本科,,Spring|计算机软件|半导体/芯片,福建福大北斗通信科技有限公司,Java,福州,2026/9/7 18:25
37487f6e05145111,C#/JAVA实习生,100-150元/天,福州 仓山 建新,本科,,MySQL|计算机软件,弘扬软件股份有限公司,Java,福州,2026/9/7 18:25
58a0e7d25c286747,初级Java开发工程师,5000-8000元·13薪,福州 鼓楼 鼓西,本科,,JavaScript|Spring|MySQL|快速成长,福建亿安智能技术股份有限公司,Java,福州,2026/9/7 18:25
f4445a4b37706aaa,初级java开发工程师,7000-11000元,福州 台江 鳌峰,本科,1-3年,Spring|MySQL|计算机软件,中电金信软件有限公司,Java,福州,2026/9/7 18:25
a62702d037109060,java全栈开发工程师,1-1.6万,福州 台江 鳌峰,本科,3-5年,全栈,河北艾钉科技有限公司,Java,福州,2026/9/7 18:25
fac4c59a6b768c10,java开发工程师,6000-10000元,福州 仓山 建新,本科,3-5年,JavaScript|Spring|Mybatis|||||||||||||||||||||||||||||,福州福光水务科技有限公司,Java,福州,2026/9/7 18:25
609e50f27b6e63bd,java开发工程师（兼职）,8000-15000元,福州 台江 鳌峰,,3-5年,JavaScript|Python|Spring|计算机软件,福建省卓正能源科技有限公司,Java,福州,2026/9/7 18:25
4b0783a1daa77902,java开发工程师,1-1.6万,福州 仓山 建新,本科,5-10年,Spring|Mybatis|计算机软件|,福建汉特云智能科技有限公司,Java,福州,2026/9/7 18:25
32211b71e5df1594,Java全栈开发工程师,8000-10000元,福州 鼓楼 五凤,大专,1-3年,前端开发|后端开发|Java||||||||||,福建远略软件技术有限公司,Java,福州,2026/9/7 18:25
ea16dfcb768d7a32,Java开发工程师,9000-15000元·13薪,福州 鼓楼 鼓东,大专,3-5年,后端开发|数据库|HTML/CSS|||||||||||||,福建省宇伦信息技术有限公司,Java,福州,2026/9/7 18:25
073452c29ec16d96,Java开发工程师（福州兴业-年度奖金-线…,9000-10000元·13薪,福州 台江 鳌峰,本科,1-3年,Spring|Mybatis|MySQL|Oracle|||||,软通动力信息技术(集团)股份有限公司,Java,福州,2026/9/7 18:25
8eee58684626c858,开发经理（MES）,1.5-2.5万,福州 闽侯 上街,本科,3-5年,JavaScript|Spring|MySQL|,摩尔元数(福建)科技有限公司,Java,福州,2026/9/7 18:25
b5dc9ae75762238c,java软件开发工程师,1-1.5万,福州 鼓楼 水部,本科,3-5年,计算机软件,福建新意科技有限公司,Java,福州,2026/9/7 18:25
27d9e2be4d3bd896,软件工程师（福建）,7000-12000元·14薪,福州 鼓楼 华大,本科,3-5年,JavaScript|Vue|Spring|MySQL|,力合科技(湖南)股份有限公司,Java,福州,2026/9/7 18:25
55496ab1ae40d5dd,初中级Java,1.1-1.5万,福州 台江 鳌峰,本科,3-5年,MySQL|Vue|Java|SpringBoot||||,鑫锡软件(朝阳)有限公司,Java,福州,2026/9/7 18:25
2cbce40ac96fbd42,后端开发（数谷）,1-1.2万,福州 鼓楼 五凤,本科,3-5年,JavaScript|Spring|MySQL|,福建卓融信息技术有限公司,Java,福州,2026/9/7 18:25
9d82c590ab43d2ba,技术主管（Java）,2.3-3万,福州 仓山 金山,本科,5-10年,软件/IT服务|互联网电商,福州剑讯网络科技有限公司,Java,福州,2026/9/7 18:25
1f9a9f9741b63413,java开发实习生,150-200元/天,福州 鼓楼 东街,本科,,JavaScript|Spring|Struts|Mybatis,天源迪科,Java,福州,2026/9/7 18:25
991bc8a4037c1ac4,java开发(项目管理）,8000-10000元,福州 闽侯 上街,本科,1-3年,软件/IT服务,福建振邦信息科技发展有限公司,Java,福州,2026/9/7 18:25
a7be5697ad33a353,Java主管,1.2-1.6万,福州 晋安 鼓山,本科,3-5年,Spring|MySQL|Oracle|Redis|||||,盛辉物流,Java,福州,2026/9/7 18:25
