岗位名称,岗位薪资,岗位地区,经验要求,学历要求,技能标签,职位描述,公司名称,发布者姓名,发布者身份,在线状态,回复时效,今日回复数,来源关键词,城市(实测),抓取时间
java实习生,100-150元/天,厦门 集美 灌口,JavaScript,本科,Spring|MySQL|Oracle||,"可转正
实习证明
JavaScript
Spring
MySQL
Oracle
SQLServer
计算机软件
1、软件工程、计算机相关专业本科及以上学历，有一定的Java开发经验，Java基础扎实；
2、熟练掌握Spring、MyBatis/iBatis、Hibernate、Spring MVC等开源框架(至少熟悉2-3种)，能在项目或系统中灵活应用设计模式； 有用springMvc或 spring Boot 做过项目，有使用过My Batista
3、熟练掌握JavaScript，JQuery，Html，XML，CSS，Bootstrap等前端技术(至少熟悉2-3种)；
4、至少熟悉一款主流数据库，如Oracle、MySql、SqlServer等；
5、注重细节、自测，有良好的开发习惯；
6、具备良好的沟通表达能力、团队合作精神，注重学习新技术，乐于分享。",厦门争新科技有限公司,周佳慧,人事主管 · 厦门争新科技有限公司,在线,,,Java,厦门,2026-09-09 20:13
鸿蒙开发工程师,2-3万,厦门 同安 西柯,3-5年,大专,ArkTS,"可转正
实习证明
JavaScript
Spring
MySQL
Oracle
SQLServer
计算机软件
1、软件工程、计算机相关专业本科及以上学历，有一定的Java开发经验，Java基础扎实；
2、熟练掌握Spring、MyBatis/iBatis、Hibernate、Spring MVC等开源框架(至少熟悉2-3种)，能在项目或系统中灵活应用设计模式； 有用springMvc或 spring Boot 做过项目，有使用过My Batista
3、熟练掌握JavaScript，JQuery，Html，XML，CSS，Bootstrap等前端技术(至少熟悉2-3种)；
4、至少熟悉一款主流数据库，如Oracle、MySql、SqlServer等；
5、注重细节、自测，有良好的开发习惯；
6、具备良好的沟通表达能力、团队合作精神，注重学习新技术，乐于分享。",上海思芮信息科技有限公司,周佳慧,人事主管 · 厦门争新科技有限公司,在线,,,Java,厦门,2026-09-09 20:13
web前端开发工程师(短期半年 可能会续签),1.2-2.2万,厦门 同安 洪塘,3-5年,本科,Vue|React|Flutter,"Vue
React
Flutter
一、岗位职责
 负责公司 Web 前端业务开发，同时兼顾移动端跨端应用（H5/Flutter）开发、调试与优化，保障网页及移动端页面流畅稳定运行。
 负责前端通用组件封装、公共工具库搭建，优化代码架构，提升团队开发效率与代码可维护性。
 解决浏览器兼容、移动端适配、页面性能瓶颈、交互体验等问题，保障产品在不同浏览器、手机机型、系统版本下的一致使用体验。
 配合后端、测试团队完成接口联调、功能测试、Bug 修复，跟进需求迭代，推动项目按时上线。
二、任职要求
1. 基础要求
 计算机相关专业，35 年前端开发经验。
 熟练掌握 HTML、CSS、JavaScript/TypeScript，
 精通 Vue3/React 等主流前端框架，理解框架核心原理。
 熟练掌握前端状态管理、路由、动画、网络请求等核心能力，拥有真实项目落地经验。
 有 Flutter 项目实际开发经验，熟悉 Dart 基础，能够完成 Flutter 页面开发、调试；
 了解 Flutter 与原生交互基础，可处理简单 MethodChannel 交互问题，不要求深度原生开发能力。
 了解移动端 H5 适配，熟悉 H5 与原生 App 交互逻辑。
2. 技能要求
 熟悉 HTTP/HTTPS 网络协议，
 熟练使用 Axios 等请求库，能够处理接口数据解析、异常捕获、本地缓存逻辑。
 掌握前端性能优化手段：页面加载优化、渲染优化、内存问题排查、首屏提速等；
 有 Flutter 页面性能优化经验优先。
 熟练使用 Git 版本控制，熟悉分支管理、提交规范，能够高效进行团队协同开发。
 具备良好代码规范，重视代码可读性、可扩展性与可维护性。
3. 加分项
 有新能源、工业互联网、智能家居相关行业前端 / Flutter 开发经验优先；
 熟悉工程化构建工具（Vite/Webpack）、前端构建体系优先。",科锐尔人力资源服务(苏州)有限公司,黄家齐,,在线,,今日回复50次,Java,厦门,2026-09-09 20:13
JAVA开发-厦门（双休-在同安有免费班车）,1-1.1万,厦门 同安 五显,3-5年,本科,Java|Spring|MyBatis|数据库|||||||||,"Java
Spring
MyBatis
数据库
后端开发
SpringBoot
岗位职责:
负责银行资源池分配的相关开发任务
任职要求:
1.3年以上JAVA开发经验，熟悉并掌握如Spring、Spring Boot、MyBatis等主流框架；
2.参与过银行信贷领域系统建设；
3.熟悉MVC编程思想，熟悉关系型数据库产品如Mysql、Oracle等至少一种关系数据库;
4.具备较强的学习能力，良好的沟通能力，有银行系统JAVA开发经验者优先；
职位福利：五险一金、餐补、通讯补助、补充医疗保险、带薪年假、公司重点项目、节日福利",厦门至恒融兴信息技术股份有限公司,Lillian,招聘经理 · 厦门至恒融兴信息技术股份有限公司,在线,,今日回复9次,Java,厦门,2026-09-09 20:13
软件开发主管,1.5-3万,厦门 翔安 民安,3-5年,硕士,QT开发|MFC|MySQL|Qt|,"QT开发
MFC
MySQL
Qt
C++
1.软件开发
2.跟踪产品开发过程中的系统问题
3.审查组内成员的设计是否符合系统要求
4.产品软件开发的评估与工作任务分配
任职要求：
1. 熟练掌握SQL语句
2. 熟练掌握C/C++，熟悉xe10，bcb开发环境
3.熟悉常用的数据结构及算法
4.熟悉网络编程的相关内容
5.熟练掌握Git等版本控制工具
6.计算机相关专业，统招本科或以上学历 ，2年以上软件开发经验；
7.有项目管理经验
8.熟悉软件开发的流程，具有良好的编码风格
9.具有较强的学习能力和沟通能力，具备良好的团队合作和敬业精神",厦门芯泰达集成电路有限公司,郑琳,HRM · 厦门芯泰达集成电路有限公司,在线,,,Java,厦门,2026-09-09 20:13
C++后台开发工程师 (MJ000142),1.2-2.3万·13薪,厦门 思明 莲前,C语言,本科,C++|Web开发|MySQL|Redis||,"C语言
C++
Web开发
MySQL
Redis
服务端开发
后台开发
岗位职责：
1、参与云平台相关的后台业务开发；
2、参与云平台可靠性、性能提升等方面的建设。
任职要求：
1、本科及以上学历，经验不限；
2、掌握Linux操作系统以及常用的操作命令；
3、熟练使用现代C++进行业务开发；
4、了解网络编程、多线程/多进程编程等基本知识；
5、对IoT平台常见的中间件有基本的了解与使用，例如：MySQL、Redis、etcd等。",厦门睿云联创新科技股份有限公司,赖女士,招聘经理 · 厦门睿云联创新科技股份有限公司,在线,,今日回复40次,Java,厦门,2026-09-09 20:13
Java开发工程师（安踏项目）,1.2-1.7万,厦门 思明 莲前,3-5年,本科,Spring|Java|MySQL|Oracle||||,"Spring
Java
MySQL
Oracle
JVM
银行
综合商贸
财务/审计/税务
【岗位职责】
系统升级：负责核心财务系统的维护，技术债的治理，日常需求迭代。
重构优化：识别并清理“技术债”，运用设计模式优化代码结构，解决高并发下的性能瓶颈。
核心开发：负责部分复杂模块的重新设计，需确保财务数据绝对准确。
【任职要求】
硬核基础：精通 Java 并发编程，熟悉 JVM 原理，有丰富的线上问题排查经验。
数据与事务：精通 MySQL/Oracle 及 SQL 优化，极度重视数据一致性，深刻理解数据库事务及锁机制。
重构能力：厌恶“面条代码”，熟练使用设计模式进行代码解耦，有实际的老系统重构经验。
【加分项 & 素质】
行业经验：有财务、支付、ERP 或银行核心系统开发经验者优先。
关键素质：极强的耐心与风险意识。能沉下心啃晦涩的老代码，修改逻辑前能充分评估影响范围，不盲目重写。
其他：熟悉 DDD（领域驱动设计）或有代码洁癖者优先。",软通动力信息技术(集团)股份有限公司,潘秋韦,,在线,,今日回复50+次,Java,厦门,2026-09-09 20:13
ERP系统高级开发工程师（SAP方向）,1.5-2.5万·13薪,厦门 集美 灌口,3-5年,本科,ERP开发|DYNAMICS 365开发,"ERP开发
DYNAMICS 365开发
1）主要工作职责
1. 参与集团海外ERP项目实施，负责项目技术开发工作；
2. 负责对海外ERP系统的功能性改进及其他用户客制化功能开发；
3. 负责海外ERP系统的技术支持和运维服务。
2）任职要求(学历/工作经验/证书/语言等)
1.本科及以上学历，计算机、信息工程等计算机相关专业;
2.有海外大型ERP开发经验优先（优先考虑：dynamics 365开发）;
3.有多个大型ERP项目实施、开发或项目管理经验优先;熟练的英语口语及听说读写能力优先；
4.具有较强的沟通能力与团队协作精神。",厦门钨业股份有限公司,职位发布者,HR,在线,,,Java,厦门,2026-09-09 20:13
java开发工程师,1.3-1.6万,厦门 思明 莲前,3-5年,本科,Spring|Mybatis|MySQL|Oracle|,"Spring
Mybatis
MySQL
Oracle
银行
1. Java基础与核心技术
统招本科，双证齐全，精通Java编程语言，熟练掌握Java多线程、并发编程、注解等核心特性，能熟练运用设计模式解决实际业务问题。
2. 主流开发框架
熟练掌握Spring、Spring Boot、Spring MVC、MyBatis/MyBatis-Plus等主流开发框架，深入理解框架核心原理与底层源码；精通Spring Cloud微服务全家桶，熟练使用Nacos、Sentinel、Feign、Gateway等微服务组件，具备完整的微服务架构设计与开发落地经验。
3. 主流中间件
熟练掌握Redis、MongoDB，具备缓存设计、分布式锁、缓存雪崩/击穿/穿透解决方案实战经验；精通RocketMQ、Kafka、RabbitMQ等消息中间件，掌握消息异步、削峰、解耦、分布式事务应用场景；熟悉Elasticsearch、Logstash等搜索与日志中间件，能完成日志分析、全文检索功能开发；具备分布式系统开发经验。
4. 数据库技术
熟练掌握MySQL、Oracle关系型数据库，精通数据库表结构设计、索引优化、SQL语句编写与性能调优；深入理解数据库事务机制、锁机制、分库分表、读写分离等分布式存储方案；能独立完成复杂SQL编写、慢查询分析与问题排查，具备数据库高可用设计经验。
5. 微服务与分布式架构
具备丰富的微服务架构开发与落地经验，熟悉微服务拆分原则、服务治理、熔断降级、限流、负载均衡、服务监控等核心能力；掌握分布式系统核心原理，了解分布式事务、分布式锁、分布式ID、最终一致性等技术方案，能解决微服务架构下的服务调用、数据一致性等常见问题。
6.熟悉Docker等容器化技术；熟悉使用git等代码管理工具。",北京银丰新融科技开发有限公司,孙海舰,,在线,,,Java,厦门,2026-09-09 20:13
it技术总监,7000-12000元,厦门 湖里 禾山,1-3年,大专,软件/IT服务|工业自动化/机器人|,"软件/IT服务
工业自动化/机器人
产业互联网平台
岗位内容：
1. 管理和指导技术团队进行软件开发、测试、维护等工作。
2. 技术架构规划和决策，确保系统的质量、安全和可靠性。
3. 开发并执行相应的项目计划，并协调资源来满足项目需求。
4. 与其他部门联系，分析企业需求，推动相关技术创新。
任职要求：
1. 具备10年以上的IT技术/研发经验，5年以上的管理经验。
2. 熟悉软件开发生命周期，有丰富的技术背景和深入了解软件设计和编程。
3. 擅长组织和管理跨职能团队以及协调不同利益关系。
4. 对技术领域有强烈的兴趣和敬业精神，具有良好的沟通和解决问题的能力。",君百(厦门)科技集团有限公司,赵尧,人事经理 · 君百(厦门)科技集团有限公司,,,,Java,厦门,2026-09-09 20:14
