经验要求,学历要求,岗位数,占该经验等级比例(%)
不限/应届,本科,3,37.5
不限/应届,大专,4,50.0
不限/应届,硕士,0,0.0
不限/应届,中专/中技,1,12.5
不限/应届,高中,0,0.0
不限/应届,博士,0,0.0
1-3年,本科,1185,48.55
1-3年,大专,1001,41.01
1-3年,硕士,67,2.74
1-3年,中专/中技,103,4.22
1-3年,高中,82,3.36
1-3年,博士,3,0.12
3-5年,本科,1579,58.31
3-5年,大专,930,34.34
3-5年,硕士,106,3.91
3-5年,中专/中技,49,1.81
3-5年,高中,42,1.55
3-5年,博士,2,0.07
5-10年,本科,909,65.87
5-10年,大专,407,29.49
5-10年,硕士,38,2.75
5-10年,中专/中技,17,1.23
5-10年,高中,9,0.65
5-10年,博士,0,0.0
10年以上,本科,80,68.38
10年以上,大专,35,29.91
10年以上,硕士,2,1.71
10年以上,中专/中技,0,0.0
10年以上,高中,0,0.0
10年以上,博士,0,0.0
