技能关键词,出现岗位数,占全部岗位比例(%)
QE,390,4.41
Python,349,3.95
QC,327,3.7
Java,318,3.6
QA,280,3.17
C++,270,3.06
MySQL,228,2.58
Spring,224,2.54
JavaScript,212,2.4
系统运维,164,1.86
人工智能,160,1.81
C#,155,1.75
C语言,138,1.56
功能测试,137,1.55
测试,108,1.22
后端开发,102,1.15
性能测试,101,1.14
网络运维,98,1.11
来料检验（IQC）,98,1.11
Vue,91,1.03
SQL,90,1.02
制程检验（IPQC）,79,0.89
设计,78,0.88
Oracle,68,0.77
服务器运维,68,0.77
Mybatis,65,0.74
机器学习,65,0.74
自动化测试,64,0.72
ERP,62,0.7
前端开发,61,0.69
软件测试,60,0.68
大模型算法,59,0.67
安装/调试,59,0.67
数据统计,59,0.67
系统测试,58,0.66
云计算,57,0.65
硬件测试,55,0.62
CSS,54,0.61
图像算法,53,0.6
生产物料管理,53,0.6
深度学习,52,0.59
信息安全,50,0.57
数据分析,50,0.57
生产计划管理,49,0.55
C,46,0.52
英语,46,0.52
销售数据分析,44,0.5
桌面运维,43,0.49
32位单片机,43,0.49
MES,41,0.46
IDC/机房运维,41,0.46
PMC管理,41,0.46
成本管理,40,0.45
Windows,38,0.43
硬件/设备运维,37,0.42
Linux,36,0.41
物联网,36,0.41
维修/保养,36,0.41
财务分析,36,0.41
OpenCV,35,0.4
.NET,34,0.38
PyTorch,34,0.38
Redis,32,0.36
设备运维,32,0.36
CQE,31,0.35
成品检验（FQC）,31,0.35
软件实施,30,0.34
数据库运维,30,0.34
数据仓库,30,0.34
机器视觉,30,0.34
工艺设计,30,0.34
电力运维,30,0.34
React,29,0.33
MES系统,29,0.33
C/C++,29,0.33
架构开发,29,0.33
Sql,29,0.33
数据治理,29,0.33
餐补,28,0.32
ARM处理器,28,0.32
质量管理,28,0.32
现场管理,28,0.32
数据挖掘,27,0.31
机器人算法,27,0.31
库存管理,27,0.31
ERP系统,26,0.29
运动控制算法,26,0.29
软件运维,26,0.29
WMS,26,0.29
嵌入式软件开发,25,0.28
Server,25,0.28
Shell,25,0.28
客户支持,25,0.28
订单管理,25,0.28
AI,24,0.27
技术培训,24,0.27
绩效管理,24,0.27
自动化设计,24,0.27
内勤管理,24,0.27
PLC设计,24,0.27
人力资源,24,0.27
光伏系统运维,23,0.26
数据运营,23,0.26
招聘,23,0.26
linux,22,0.25
检测/认证/计量,22,0.25
亚马逊,22,0.25
数据建模,21,0.24
导航算法,21,0.24
生产质量管理,21,0.24
PQE,21,0.24
工程施工,21,0.24
生产统计,21,0.24
精品运营,21,0.24
储能,21,0.24
会计初级职称,21,0.24
ERP开发,20,0.23
TensorFlow,20,0.23
提成,20,0.23
综合商贸,20,0.23
文本标注,20,0.23
快速消费品,20,0.23
会计中级职称,20,0.23
云运维,19,0.22
HTML5,19,0.22
集团公司,19,0.22
成本核算,19,0.22
员工关系,19,0.22
高分子材料,19,0.22
生产跟单,19,0.22
结构设计,19,0.22
Android,18,0.2
船舶/航空/航天/军工,18,0.2
车间统计,18,0.2
活动策划,18,0.2
新材料,18,0.2
光伏,18,0.2
非标设备,17,0.19
多模态算法,17,0.19
Core,17,0.19
报表开发,17,0.19
咨询服务,17,0.19
可提供住宿,17,0.19
技术服务,17,0.19
高压电工,17,0.19
销售管理,17,0.19
总账会计,17,0.19
装配工艺,17,0.19
微信视频号,17,0.19
QT开发,16,0.18
