被剔除的词,出现岗位数,剔除原因
汽车行业质量管理体系,263,行业/企业/平台等非技能标签
半导体/芯片,255,行业/企业/平台等非技能标签
五险一金,213,福利待遇类
软件/IT服务,173,行业/企业/平台等非技能标签
全面质量管理体系,170,行业/企业/平台等非技能标签
工业自动化/机器人,129,行业/企业/平台等非技能标签
电气机械/电力设备,124,行业/企业/平台等非技能标签
计算机软件,115,行业/企业/平台等非技能标签
银行,95,行业/企业/平台等非技能标签
化工,93,行业/企业/平台等非技能标签
通信/网络设备,72,行业/企业/平台等非技能标签
环保,72,行业/企业/平台等非技能标签
互联网电商,71,行业/企业/平台等非技能标签
新能源,68,行业/企业/平台等非技能标签
金属制品/机加工,59,行业/企业/平台等非技能标签
专用设备制造,57,行业/企业/平台等非技能标签
新能源/燃油车零部件,57,行业/企业/平台等非技能标签
绩效奖金,55,福利待遇类
通用设备制造,54,行业/企业/平台等非技能标签
电气设备,54,行业/企业/平台等非技能标签
计算机硬件,53,行业/企业/平台等非技能标签
自动化设备,53,行业/企业/平台等非技能标签
仪器仪表,52,行业/企业/平台等非技能标签
化学原料/化学制品,51,行业/企业/平台等非技能标签
食品/饮料/酒水批发/零售/贸易,50,行业/企业/平台等非技能标签
机械设备,50,行业/企业/平台等非技能标签
食品安全管理体系,47,行业/企业/平台等非技能标签
橡胶/塑料制品,46,行业/企业/平台等非技能标签
财务/审计/税务,46,行业/企业/平台等非技能标签
研发,46,行业/企业/平台等非技能标签
图像识别产品,43,行业/企业/平台等非技能标签
机电设备,41,行业/企业/平台等非技能标签
电子设备制造,40,行业/企业/平台等非技能标签
企业客户,39,行业/企业/平台等非技能标签
电力/水利/热力/燃气,39,行业/企业/平台等非技能标签
新能源/燃油整车研发制造,39,行业/企业/平台等非技能标签
产业互联网平台,38,行业/企业/平台等非技能标签
五险,38,福利待遇类
抖音,35,行业/企业/平台等非技能标签
带薪年假,33,福利待遇类
渠道销售,32,行业/企业/平台等非技能标签
货运物流,31,行业/企业/平台等非技能标签
保险,31,福利待遇类
新能源汽车,31,行业/企业/平台等非技能标签
周末双休,31,福利待遇类
动力电池,30,行业/企业/平台等非技能标签
短视频平台,29,行业/企业/平台等非技能标签
六险一金,28,福利待遇类
机器人,28,行业/企业/平台等非技能标签
淘宝/天猫,28,行业/企业/平台等非技能标签
服装/纺织/皮革制造,27,行业/企业/平台等非技能标签
医疗设备/器械/耗材,26,行业/企业/平台等非技能标签
面销/陌拜,26,行业/企业/平台等非技能标签
食品/饮品/烟酒制造,25,行业/企业/平台等非技能标签
技能培训,25,行业/企业/平台等非技能标签
拼多多,25,行业/企业/平台等非技能标签
生物/制药,25,行业/企业/平台等非技能标签
家电批发/零售/贸易,21,行业/企业/平台等非技能标签
制造业,20,行业/企业/平台等非技能标签
环境管理体系,20,行业/企业/平台等非技能标签
包住,20,福利待遇类
社保,19,福利待遇类
图文平台,18,行业/企业/平台等非技能标签
培训补贴,17,福利待遇类
抖音小店,17,行业/企业/平台等非技能标签
薪酬福利,16,福利待遇类
医疗器械质量管理体系,14,行业/企业/平台等非技能标签
贸易/进出口,13,行业/企业/平台等非技能标签
全勤奖,12,福利待遇类
加班费,12,福利待遇类
航空航天质量管理体系,11,行业/企业/平台等非技能标签
包吃住,11,福利待遇类
定期体检,11,福利待遇类
家具/家居/办公制造,11,行业/企业/平台等非技能标签
国军标质量管理体系,10,行业/企业/平台等非技能标签
互联网新零售,10,行业/企业/平台等非技能标签
质量管理体系标准,9,行业/企业/平台等非技能标签
年终奖金,8,福利待遇类
奖金,8,福利待遇类
高温补贴,8,福利待遇类
化工产品,8,行业/企业/平台等非技能标签
汽车行业,8,行业/企业/平台等非技能标签
行业调研,7,行业/企业/平台等非技能标签
节日福利,7,福利待遇类
医药批发/零售,7,行业/企业/平台等非技能标签
日化制造,7,行业/企业/平台等非技能标签
包吃包住,7,福利待遇类
社会保险,6,福利待遇类
行业分析,6,行业/企业/平台等非技能标签
缴纳五险,6,福利待遇类
团建,6,福利待遇类
生鲜食品,6,行业/企业/平台等非技能标签
化学品监管体系,6,行业/企业/平台等非技能标签
平台架构,5,行业/企业/平台等非技能标签
六险二金,5,福利待遇类
加班补助,5,福利待遇类
食品,5,行业/企业/平台等非技能标签
包吃,5,福利待遇类
节假日福利,5,福利待遇类
银行项目,5,行业/企业/平台等非技能标签
班车,5,福利待遇类
冷冻食品,5,行业/企业/平台等非技能标签
医药制造,5,行业/企业/平台等非技能标签
鞋服箱包批发/零售/贸易,5,行业/企业/平台等非技能标签
行业数据分析,4,行业/企业/平台等非技能标签
交通补助,4,福利待遇类
电子/半导体,4,行业/企业/平台等非技能标签
非标自动化设备,4,行业/企业/平台等非技能标签
满勤奖金,4,福利待遇类
餐费补贴,4,福利待遇类
加班补贴,4,福利待遇类
海外平台,4,行业/企业/平台等非技能标签
天猫,4,行业/企业/平台等非技能标签
双休,4,福利待遇类
质量体系工程师,4,行业/企业/平台等非技能标签
银行业风控,3,行业/企业/平台等非技能标签
完善的培训体系,3,行业/企业/平台等非技能标签
塑料,3,行业/企业/平台等非技能标签
环保设备运维,3,行业/企业/平台等非技能标签
零售业,3,行业/企业/平台等非技能标签
其他制造业,3,行业/企业/平台等非技能标签
其他新能源,3,行业/企业/平台等非技能标签
商业保险,3,福利待遇类
服装店,3,行业/企业/平台等非技能标签
住宿补贴,3,福利待遇类
体系化培训,3,行业/企业/平台等非技能标签
行政管理体系,3,行业/企业/平台等非技能标签
制造,3,行业/企业/平台等非技能标签
租房补贴,2,福利待遇类
公积金,2,福利待遇类
住房补贴,2,福利待遇类
社保公积金,2,福利待遇类
实验室质量管理体系标准,2,行业/企业/平台等非技能标签
双休制,2,福利待遇类
食品质量管理,2,行业/企业/平台等非技能标签
缴交五险,2,福利待遇类
鞋服行业,2,行业/企业/平台等非技能标签
入职缴纳五险,2,福利待遇类
汽车制造,2,行业/企业/平台等非技能标签
橡胶,2,行业/企业/平台等非技能标签
物流行业,2,行业/企业/平台等非技能标签
多种激励奖金,2,福利待遇类
免费班车,2,福利待遇类
福利活动,2,福利待遇类
社保公积金缴纳,2,福利待遇类
银行经验,2,行业/企业/平台等非技能标签
缴纳社保,2,福利待遇类
纺织工控,2,行业/企业/平台等非技能标签
国家法定带薪年假,2,福利待遇类
天猫海外旗舰店,2,行业/企业/平台等非技能标签
项目奖金,2,福利待遇类
双休五险,2,福利待遇类
补充医疗保险,2,福利待遇类
休闲零食,2,福利待遇类
班车接送,2,福利待遇类
晋升体系,2,行业/企业/平台等非技能标签
面销,2,行业/企业/平台等非技能标签
智慧物流,2,行业/企业/平台等非技能标签
ISO9001体系,2,行业/企业/平台等非技能标签
包住有餐补,2,福利待遇类
母婴行业,2,行业/企业/平台等非技能标签
电商平台,2,行业/企业/平台等非技能标签
日化批发/零售/贸易,2,行业/企业/平台等非技能标签
五险二金,2,福利待遇类
新能源材料质量监控,2,行业/企业/平台等非技能标签
实验室管理体系,2,行业/企业/平台等非技能标签
购买五险一金,2,福利待遇类
加班工资,2,福利待遇类
夜班补贴,2,福利待遇类
单位体检,2,福利待遇类
机械设备维保,2,行业/企业/平台等非技能标签
物流系统规划,2,行业/企业/平台等非技能标签
五险一金齐全,2,福利待遇类
化学纤维制造业,2,行业/企业/平台等非技能标签
食品/饮料,2,行业/企业/平台等非技能标签
质量管理体系,2,行业/企业/平台等非技能标签
制造业成本核算,2,行业/企业/平台等非技能标签
年度体检,2,福利待遇类
出差补贴,2,福利待遇类
团建活动,2,福利待遇类
带薪培训,2,福利待遇类
银行国际结算业务,1,行业/企业/平台等非技能标签
LINUX平台开发,1,行业/企业/平台等非技能标签
自动化工具开发,1,行业/企业/平台等非技能标签
平台搭建,1,行业/企业/平台等非技能标签
智能制造项目,1,行业/企业/平台等非技能标签
丰厚奖金,1,福利待遇类
电子制造,1,行业/企业/平台等非技能标签
FPC行业优先,1,行业/企业/平台等非技能标签
手机银行,1,行业/企业/平台等非技能标签
食品接触器材,1,行业/企业/平台等非技能标签
食品行业质量管控,1,行业/企业/平台等非技能标签
零售系统,1,行业/企业/平台等非技能标签
实验分析仪器制造,1,行业/企业/平台等非技能标签
工控仪器制造,1,行业/企业/平台等非技能标签
服装行业知识,1,行业/企业/平台等非技能标签
工资奖金,1,福利待遇类
自有平台,1,行业/企业/平台等非技能标签
六险两金,1,福利待遇类
食品检测,1,行业/企业/平台等非技能标签
金属离子的分离纯化工艺,1,行业/企业/平台等非技能标签
会员体系,1,行业/企业/平台等非技能标签
半导体,1,行业/企业/平台等非技能标签
高奖金,1,福利待遇类
纺织项目,1,行业/企业/平台等非技能标签
提成奖金,1,福利待遇类
银行业务开发经验,1,行业/企业/平台等非技能标签
智能制造,1,行业/企业/平台等非技能标签
期权数据分析,1,福利待遇类
节日费,1,福利待遇类
假期福利,1,福利待遇类
平台运维,1,行业/企业/平台等非技能标签
配电行业,1,行业/企业/平台等非技能标签
电子/半导体/集成电路,1,行业/企业/平台等非技能标签
IATF16949体系,1,行业/企业/平台等非技能标签
冷冻食品生产,1,行业/企业/平台等非技能标签
体系建设,1,行业/企业/平台等非技能标签
食品安全类,1,行业/企业/平台等非技能标签
包两餐包住,1,福利待遇类
BI平台运维,1,行业/企业/平台等非技能标签
五险齐全,1,福利待遇类
通讯补助,1,福利待遇类
医疗设备,1,行业/企业/平台等非技能标签
医疗设备维护,1,行业/企业/平台等非技能标签
新能源电站,1,行业/企业/平台等非技能标签
带薪假期,1,福利待遇类
软件行业,1,行业/企业/平台等非技能标签
社区平台,1,行业/企业/平台等非技能标签
