岗位大类,岗位数,占比(%),该类高频岗位（Top3）
质量管理类,1607,18.19,质量工程师(152)、质量经理(62)、品质工程师(52)
软件开发类,1235,13.98,软件工程师(54)、嵌入式软件工程师(53)、java开发工程师(35)
运维与支持类,1080,12.22,运维工程师(36)、IT工程师(13)、网络工程师(13)
其他,916,10.37,技术经理(3)、报告专员(3)、巡检员(3)
硬件与制造类,794,8.99,电气工程师(22)、工艺工程师(18)、生产文员(13)
测试类,628,7.11,测试工程师(67)、软件测试工程师(33)、硬件测试工程师(25)
运营与市场类,628,7.11,新媒体运营(26)、跨境电商运营(21)、销售助理(19)
算法与人工智能类,611,6.91,算法工程师(33)、机器视觉工程师(17)、图像算法工程师(12)
数据分析类,386,4.37,数据分析师(18)、统计员(9)、生产统计员(9)
人事行政类,280,3.17,HRBP(9)、总经理助理(7)、业务助理(6)
财务类,183,2.07,成本会计(19)、会计(16)、主办会计(8)
供应链与物流类,159,1.8,仓库主管(9)、采购专员(8)、采购经理(8)
前端与移动端类,139,1.57,前端开发工程师(23)、web前端工程师(6)、前端开发(4)
产品与项目类,85,0.96,项目经理(8)、产品经理(8)、产品专员(4)
金融与风控类,42,0.48,外访催收主管(3)、证券投资顾问(3)、风控专员(2)
设计类,30,0.34,模拟版图设计工程师(2)、IC设计工程师(1)、方案设计师(1)
教育与培训类,19,0.22,物联网应用技术专业骨干教师(1)、供应链 专任教师(1)、少儿编程教师(1)
医药生物类,14,0.16,医药代表(3)、生物信息工程师(2)、医药代表（福建）(1)
