排名,公司名称,在招岗位数,有回复数据岗位数,回复数据覆盖率(%),活跃岗位数(今日回复≥5次),活跃岗位占比(%),平均今日回复次数,回复积极度得分
1,厦门睿云联创新科技股份有限公司,33,33,100.0,33,100.0,43.9,84.7
2,外企德科数字技术有限公司,36,32,88.9,31,96.9,45.1,81.8
3,软通动力信息技术(集团)股份有限公司,86,71,82.6,63,88.7,41.8,81.1
4,福州云之景科技有限公司,24,20,83.3,20,100.0,28.0,71.3
5,鑫锡软件(朝阳)有限公司,27,24,88.9,20,83.3,35.5,69.6
6,广东轻上生物科技有限公司,14,13,92.9,13,100.0,40.5,69.3
7,跨越速运,14,11,78.6,11,100.0,50.0,68.9
8,天阳科技,22,18,81.8,18,100.0,23.9,68.5
9,宁德时代新能源科技股份有限公司,23,19,82.6,17,89.5,29.9,66.9
10,天津艾迪智绘网络科技有限公司,15,14,93.3,14,100.0,26.4,66.4
11,福建汉特云智能科技有限公司,20,20,100.0,20,100.0,6.0,65.9
12,科锐尔人力资源服务(苏州)有限公司,23,17,73.9,16,94.1,25.4,65.2
13,三一集团有限公司,72,52,72.2,41,78.8,20.8,64.9
14,锐仕方达人才科技集团有限公司,13,11,84.6,11,100.0,35.9,64.8
15,京东集团,15,8,53.3,8,100.0,50.0,64.5
16,福州九州联创通信科技有限公司,9,8,88.9,8,100.0,50.0,62.1
17,康龙化成,20,13,65.0,13,100.0,20.3,62.1
18,江苏北人,9,9,100.0,9,100.0,40.4,61.8
19,福建圣农集团,23,16,69.6,15,93.8,18.0,61.6
20,清华苏州环境创新研究院,8,8,100.0,8,100.0,50.0,61.5
