类型,项目,数值
统计量,最小值,1000
统计量,P10,5000
统计量,P25,6006
统计量,中位数,7671
统计量,平均数,8392
统计量,P75,10000
统计量,P90,12000
统计量,最大值,80004
分箱岗位数(元/月),0-1k,0
分箱岗位数(元/月),1-2k,11
分箱岗位数(元/月),2-3k,77
分箱岗位数(元/月),3-4k,179
分箱岗位数(元/月),4-5k,481
分箱岗位数(元/月),5-6k,880
分箱岗位数(元/月),6-7k,1421
分箱岗位数(元/月),7-8k,1480
分箱岗位数(元/月),8-9k,935
分箱岗位数(元/月),9-10k,781
分箱岗位数(元/月),10-11k,1164
分箱岗位数(元/月),11-12k,401
分箱岗位数(元/月),12-13k,439
分箱岗位数(元/月),13-14k,105
分箱岗位数(元/月),14-15k,20
分箱岗位数(元/月),15-16k,220
分箱岗位数(元/月),16-17k,10
分箱岗位数(元/月),17-18k,57
分箱岗位数(元/月),18-19k,3
分箱岗位数(元/月),19-20k,0
分箱岗位数(元/月),≥20k,169
分箱累计占比(%),0-1k,0.0
分箱累计占比(%),1-2k,0.12
分箱累计占比(%),2-3k,1.0
分箱累计占比(%),3-4k,3.02
分箱累计占比(%),4-5k,8.47
分箱累计占比(%),5-6k,18.43
分箱累计占比(%),6-7k,34.52
分箱累计占比(%),7-8k,51.27
分箱累计占比(%),8-9k,61.86
分箱累计占比(%),9-10k,70.7
分箱累计占比(%),10-11k,83.88
分箱累计占比(%),11-12k,88.42
分箱累计占比(%),12-13k,93.39
分箱累计占比(%),13-14k,94.58
分箱累计占比(%),14-15k,94.8
分箱累计占比(%),15-16k,97.29
分箱累计占比(%),16-17k,97.41
分箱累计占比(%),17-18k,98.05
分箱累计占比(%),18-19k,98.09
分箱累计占比(%),19-20k,98.09
分箱累计占比(%),≥20k,100.0
